week,対外.株式投資ファンド持分.ネット
2005年1月第2週,270
2005年1月第3週,8
2005年1月第4週,730
2005年1月第5週,394
2005年1月第6週,623
2005年2月第2週,-126
2005年2月第3週,-1034
2005年2月第4週,348
2005年2月第5週,191
2005年3月第2週,-314
2005年3月第3週,-388
2005年3月第4週,287
2005年3月第5週,1059
2005年4月第2週,987
2005年4月第3週,-437
2005年4月第4週,419
2005年4月第5週,754
2005年5月第1週,255
2005年5月第2週,1564
2005年5月第3週,183
2005年5月第4週,542
2005年5月第5週,165
2005年6月第2週,-751
2005年6月第3週,25
2005年6月第4週,450
2005年6月第5週,76
2005年7月第2週,51
2005年7月第3週,-1422
2005年7月第4週,269
2005年7月第5週,-49
2005年7月第6週,447
2005年8月第2週,-243
2005年8月第3週,312
2005年8月第4週,283
2005年8月第5週,230
2005年9月第2週,1045
2005年9月第3週,-132
2005年9月第4週,511
2005年9月第5週,511
2005年10月第2週,927
2005年10月第3週,417
2005年10月第4週,664
2005年10月第5週,1061
2005年10月第6週,691
2005年11月第2週,400
2005年11月第3週,907
2005年11月第4週,174
2005年11月第5週,388
2005年12月第2週,-239
2005年12月第3週,271
2005年12月第4週,766
2005年12月第5週,418
2006年1月第1週,220
2006年1月第2週,768
2006年1月第3週,-749
2006年1月第4週,230
2006年1月第5週,909
2006年2月第2週,-595
2006年2月第3週,-67
2006年2月第4週,124
2006年2月第5週,476
2006年3月第2週,80
2006年3月第3週,-744
2006年3月第4週,29
2006年3月第5週,350
2006年4月第2週,778
2006年4月第3週,349
2006年4月第4週,1607
2006年4月第5週,1399
2006年4月第6週,224
2006年5月第2週,687
2006年5月第3週,495
2006年5月第4週,466
2006年5月第5週,2271
2006年6月第2週,-45
2006年6月第3週,-535
2006年6月第4週,264
2006年6月第5週,-95
2006年7月第2週,415
2006年7月第3週,48
2006年7月第4週,-374
2006年7月第5週,14
2006年7月第6週,374
2006年8月第2週,225
2006年8月第3週,330
2006年8月第4週,502
2006年8月第5週,1131
2006年9月第2週,41
2006年9月第3週,75
2006年9月第4週,-130
2006年9月第5週,-9
2006年10月第1週,264
2006年10月第2週,22
2006年10月第3週,-499
2006年10月第4週,-68
2006年10月第5週,998
2006年11月第2週,-377
2006年11月第3週,140
2006年11月第4週,282
2006年11月第5週,1688
2006年12月第2週,69
2006年12月第3週,-312
2006年12月第4週,539
2006年12月第5週,749
2006年12月第6週,237
2007年1月第2週,-1321
2007年1月第3週,-355
2007年1月第4週,-1016
2007年1月第5週,-408
2007年2月第2週,858
2007年2月第3週,257
2007年2月第4週,1007
2007年2月第5週,493
2007年3月第2週,1027
2007年3月第3週,-133
2007年3月第4週,-97
2007年3月第5週,2114
2007年4月第1週,801
2007年4月第2週,130
2007年4月第3週,-1026
2007年4月第4週,251
2007年4月第5週,647
2007年5月第2週,1536
2007年5月第3週,-184
2007年5月第4週,432
2007年5月第5週,-201
2007年6月第2週,-1811
2007年6月第3週,223
2007年6月第4週,-240
2007年6月第5週,1033
2007年7月第1週,1049
2007年7月第2週,-2709
2007年7月第3週,-1081
2007年7月第4週,-487
2007年7月第5週,796
2007年8月第2週,285
2007年8月第3週,459
2007年8月第4週,-1170
2007年8月第5週,660
2007年9月第2週,983
2007年9月第3週,478
2007年9月第4週,-633
2007年9月第5週,-87
2007年9月第6週,-106
2007年10月第2週,-721
2007年10月第3週,-865
2007年10月第4週,247
2007年10月第5週,1170
2007年11月第2週,61
2007年11月第3週,-512
2007年11月第4週,-849
2007年11月第5週,508
2007年12月第2週,1764
2007年12月第3週,-857
2007年12月第4週,-783
2007年12月第5週,-288
2007年12月第6週,125
2008年1月第2週,383
2008年1月第3週,1848
2008年1月第4週,3092
2008年1月第5週,1132
2008年2月第2週,1246
2008年2月第3週,1791
2008年2月第4週,212
2008年2月第5週,2129
2008年3月第2週,618
2008年3月第3週,-316
2008年3月第4週,308
2008年3月第5週,1682
2008年3月第6週,1340
2008年4月第2週,826
2008年4月第3週,49
2008年4月第4週,113
2008年4月第5週,97
2008年5月第2週,525
2008年5月第3週,-493
2008年5月第4週,301
2008年5月第5週,551
2008年6月第1週,169
2008年6月第2週,-73
2008年6月第3週,177
2008年6月第4週,650
2008年6月第5週,1148
2008年7月第2週,131
2008年7月第3週,711
2008年7月第4週,-35
2008年7月第5週,1352
2008年8月第2週,-641
2008年8月第3週,-534
2008年8月第4週,-828
2008年8月第5週,5
2008年8月第6週,-121
2008年9月第2週,-380
2008年9月第3週,-165
2008年9月第4週,1148
2008年9月第5週,1660
2008年10月第2週,1728
2008年10月第3週,3483
2008年10月第4週,2017
2008年10月第5週,4203
2008年11月第2週,4304
2008年11月第3週,1612
2008年11月第4週,5129
2008年11月第5週,3376
2008年11月第6週,4952
2008年12月第2週,2742
2008年12月第3週,2411
2008年12月第4週,2708
2008年12月第5週,615
2009年1月第2週,732
2009年1月第3週,4025
2009年1月第4週,906
2009年1月第5週,4822
2009年2月第1週,3360
2009年2月第2週,1240
2009年2月第3週,2151
2009年2月第4週,767
2009年3月第1週,3347
2009年3月第2週,1043
2009年3月第3週,62
2009年3月第4週,2464
2009年3月第5週,746
2009年4月第2週,79
2009年4月第3週,984
2009年4月第4週,-60
2009年4月第5週,-196
2009年5月第2週,-10
2009年5月第3週,-5
2009年5月第4週,768
2009年5月第5週,1386
2009年5月第6週,1422
2009年6月第2週,-368
2009年6月第3週,188
2009年6月第4週,1505
2009年6月第5週,1345
2009年7月第2週,524
2009年7月第3週,1011
2009年7月第4週,154
2009年7月第5週,102
2009年8月第2週,-988
2009年8月第3週,-872
2009年8月第4週,388
2009年8月第5週,558
2009年8月第6週,425
2009年9月第2週,471
2009年9月第3週,957
2009年9月第4週,-202
2009年9月第5週,1042
2009年10月第2週,-254
2009年10月第3週,-545
2009年10月第4週,-511
2009年10月第5週,-80
2009年11月第1週,-469
2009年11月第2週,-467
2009年11月第3週,-234
2009年11月第4週,25
2009年11月第5週,897
2009年12月第2週,373
2009年12月第3週,-219
2009年12月第4週,-27
2009年12月第5週,84
2010年1月第2週,-711
2010年1月第3週,-1223
2010年1月第4週,-260
2010年1月第5週,1258
2010年1月第6週,2013
2010年2月第2週,1155
2010年2月第3週,-288
2010年2月第4週,377
2010年2月第5週,1195
2010年3月第2週,-661
2010年3月第3週,-347
2010年3月第4週,-111
2010年3月第5週,502
2010年4月第2週,-1439
2010年4月第3週,-820
2010年4月第4週,644
2010年4月第5週,47
2010年5月第2週,4
2010年5月第3週,1483
2010年5月第4週,2712
2010年5月第5週,2759
2010年5月第6週,2258
2010年6月第2週,1093
2010年6月第3週,573
2010年6月第4週,-526
2010年6月第5週,1432
2010年7月第2週,1395
2010年7月第3週,492
2010年7月第4週,243
2010年7月第5週,-204
2010年8月第1週,-329
2010年8月第2週,80
2010年8月第3週,320
2010年8月第4週,1410
2010年8月第5週,2152
2010年9月第2週,89
2010年9月第3週,-697
2010年9月第4週,-732
2010年9月第5週,-1190
2010年10月第2週,-1057
2010年10月第3週,-39
2010年10月第4週,-554
2010年10月第5週,288
2010年10月第6週,211
2010年11月第2週,25
2010年11月第3週,-60
2010年11月第4週,151
2010年11月第5週,248
2010年12月第2週,-16
2010年12月第3週,-333
2010年12月第4週,-156
