Date,小売業
2008-03-01,861244
2008-06-01,684714
2008-09-01,868204
2008-12-01,775921
2009-03-01,809970
2009-06-01,703832
2009-09-01,810410
2009-12-01,783262
2010-03-01,811031
2010-06-01,730007
2010-09-01,847544
2010-12-01,699695
2011-03-01,828099
2011-06-01,840279
2011-09-01,635457
2011-12-01,845431
2012-03-01,714891
2012-06-01,730616
2012-09-01,714899
2012-12-01,854228
2013-03-01,797262
2013-06-01,831860
2013-09-01,797333
2013-12-01,910730
2014-03-01,841378
2014-06-01,840930
2014-09-01,812913
2014-12-01,868540
2015-03-01,841809
2015-06-01,796456
