Date,就業者.女.季節調整値.万人
2013-02-01,2687
2013-03-01,2697
2013-04-01,2699
2013-05-01,2690
2013-06-01,2685
2013-07-01,2692
2013-08-01,2700
2013-09-01,2710
2013-10-01,2716
2013-11-01,2725
2013-12-01,2727
2014-01-01,2715
2014-02-01,2715
2014-03-01,2715
2014-04-01,2710
2014-05-01,2725
2014-06-01,2738
2014-07-01,2733
2014-08-01,2731
2014-09-01,2735
2014-10-01,2740
2014-11-01,2739
2014-12-01,2751
2015-01-01,2744
2015-02-01,2747
2015-03-01,2749
2015-04-01,2731
2015-05-01,2747
2015-06-01,2772
2015-07-01,2761
