Date,就業者.男.季節調整値.万人
2013-02-01,3605
2013-03-01,3598
2013-04-01,3607
2013-05-01,3611
2013-06-01,3618
2013-07-01,3613
2013-08-01,3605
2013-09-01,3609
2013-10-01,3613
2013-11-01,3625
2013-12-01,3612
2014-01-01,3609
2014-02-01,3620
2014-03-01,3632
2014-04-01,3625
2014-05-01,3632
2014-06-01,3619
2014-07-01,3621
2014-08-01,3628
2014-09-01,3627
2014-10-01,3614
2014-11-01,3608
2014-12-01,3624
2015-01-01,3630
2015-02-01,3630
2015-03-01,3619
2015-04-01,3608
2015-05-01,3613
2015-06-01,3620
2015-07-01,3617
