Date,建築物着工統計.その他のｻｰﾋﾞｽ業.千平米
2013-02-01,184.22
2013-03-01,390.489
2013-04-01,338.871
2013-05-01,428.887
2013-06-01,364.684
2013-07-01,355.353
2013-08-01,382.181
2013-09-01,709.058
2013-10-01,389.415
2013-11-01,645.191
2013-12-01,449.862
2014-01-01,455.024
2014-02-01,403.94
2014-03-01,263.424
2014-04-01,426.742
2014-05-01,286.929
2014-06-01,440.277
2014-07-01,644.102
2014-08-01,304.566
2014-09-01,320.36
2014-10-01,329.045
2014-11-01,283.01
2014-12-01,321.34
2015-01-01,189.197
2015-02-01,342.501
2015-03-01,322.036
2015-04-01,342.116
2015-05-01,336.238
2015-06-01,409.88
2015-07-01,776.849
