Date,建築物着工統計.不動産業.千平米
2013-02-01,510.701
2013-03-01,99.932
2013-04-01,85.014
2013-05-01,224.201
2013-06-01,85.106
2013-07-01,172.996
2013-08-01,176.582
2013-09-01,78.997
2013-10-01,45.21
2013-11-01,233.683
2013-12-01,179.727
2014-01-01,83.866
2014-02-01,80.267
2014-03-01,75.703
2014-04-01,114.878
2014-05-01,303.886
2014-06-01,86.326
2014-07-01,78.69
2014-08-01,78.817
2014-09-01,315.657
2014-10-01,78.391
2014-11-01,103.542
2014-12-01,109.956
2015-01-01,155.279
2015-02-01,248.019
2015-03-01,104.246
2015-04-01,217.646
2015-05-01,211.748
2015-06-01,330.324
2015-07-01,464.851
