Date,建築物着工統計.公共.千平米
2013-02-01,466.581
2013-03-01,759.366
2013-04-01,913.935
2013-05-01,753.242
2013-06-01,924.729
2013-07-01,968.901
2013-08-01,783.892
2013-09-01,908.002
2013-10-01,983.921
2013-11-01,918.784
2013-12-01,697.081
2014-01-01,906.268
2014-02-01,717.569
2014-03-01,815.946
2014-04-01,1066.389
2014-05-01,652.27
2014-06-01,1039.899
2014-07-01,1068.297
2014-08-01,721.449
2014-09-01,537.15
2014-10-01,944.988
2014-11-01,671.814
2014-12-01,574.69
2015-01-01,494.064
2015-02-01,578.896
2015-03-01,734.467
2015-04-01,783.326
2015-05-01,437.696
2015-06-01,740.959
2015-07-01,728.521
