Date,建築物着工統計.医療，福祉.千平米
2013-02-01,838.986
2013-03-01,931.521
2013-04-01,773.332
2013-05-01,710.19
2013-06-01,811.74
2013-07-01,797.508
2013-08-01,1035.423
2013-09-01,1075.342
2013-10-01,1095.861
2013-11-01,981.099
2013-12-01,964.058
2014-01-01,925.201
2014-02-01,926.488
2014-03-01,1015.711
2014-04-01,1092.39
2014-05-01,633.234
2014-06-01,816.78
2014-07-01,820.296
2014-08-01,837.272
2014-09-01,800.677
2014-10-01,798.412
2014-11-01,743.97
2014-12-01,721.051
2015-01-01,495.59
2015-02-01,764.186
2015-03-01,632.27
2015-04-01,635.673
2015-05-01,526.454
2015-06-01,505.665
2015-07-01,482.184
