Date,建築物着工統計.宿泊業，飲食ｻｰﾋﾞｽ業.千平米
2013-02-01,85.324
2013-03-01,142.401
2013-04-01,134.575
2013-05-01,123.09
2013-06-01,98.384
2013-07-01,92.072
2013-08-01,124.895
2013-09-01,125.383
2013-10-01,125.091
2013-11-01,123.608
2013-12-01,119.285
2014-01-01,108.337
2014-02-01,201.226
2014-03-01,84.369
2014-04-01,137.981
2014-05-01,189.031
2014-06-01,107.642
2014-07-01,90.156
2014-08-01,102.25
2014-09-01,98.454
2014-10-01,132.531
2014-11-01,86.554
2014-12-01,137.769
2015-01-01,100.102
2015-02-01,91.002
2015-03-01,154.11
2015-04-01,179.729
2015-05-01,132.368
2015-06-01,162.65
2015-07-01,126.762
