Date,建築物着工統計.建築物計.千平米
2013-02-01,10712.251
2013-03-01,11395.875
2013-04-01,12452.46
2013-05-01,12156.67
2013-06-01,12762.842
2013-07-01,12890.254
2013-08-01,12603.733
2013-09-01,13473.504
2013-10-01,13196.162
2013-11-01,13065.471
2013-12-01,12637.459
2014-01-01,12049.874
2014-02-01,10476.095
2014-03-01,10691.414
2014-04-01,11750.039
2014-05-01,10162.954
2014-06-01,11883.5
2014-07-01,11258.966
2014-08-01,11308.39
2014-09-01,10878.268
2014-10-01,12376.293
2014-11-01,10885.21
2014-12-01,10300.332
2015-01-01,9761.576
2015-02-01,10436.8
2015-03-01,9788.593
2015-04-01,11608.829
2015-05-01,10538.462
2015-06-01,12213.769
2015-07-01,11582.602
