Date,建築物着工統計.情報通信業.千平米
2013-02-01,39.1
2013-03-01,29.953
2013-04-01,32.169
2013-05-01,17.933
2013-06-01,32.17
2013-07-01,19.266
2013-08-01,22.224
2013-09-01,71.985
2013-10-01,19.714
2013-11-01,31.876
2013-12-01,24.581
2014-01-01,23.253
2014-02-01,30.444
2014-03-01,13.731
2014-04-01,133.838
2014-05-01,16.303
2014-06-01,207.778
2014-07-01,18.704
2014-08-01,14.788
2014-09-01,47.362
2014-10-01,12.118
2014-11-01,23.398
2014-12-01,14.536
2015-01-01,74.915
2015-02-01,20.709
2015-03-01,21.641
2015-04-01,44.005
2015-05-01,18.412
2015-06-01,9.336
2015-07-01,18.735
