Date,建築物着工統計.木造.千平米
2013-02-01,4008.315
2013-03-01,4406.584
2013-04-01,5014.056
2013-05-01,4977.396
2013-06-01,5410.57
2013-07-01,5358.656
2013-08-01,5423.082
2013-09-01,5584.106
2013-10-01,5965.713
2013-11-01,6082.232
2013-12-01,5645.172
2014-01-01,4374.089
2014-02-01,4074.747
2014-03-01,4087.34
2014-04-01,4551.137
2014-05-01,4137.27
2014-06-01,4740.636
2014-07-01,4481.356
2014-08-01,4510.612
2014-09-01,4641.067
2014-10-01,4617.516
2014-11-01,4745.113
2014-12-01,4537.245
2015-01-01,3786.819
2015-02-01,3830.279
2015-03-01,4074.581
2015-04-01,4428.506
2015-05-01,4176.362
2015-06-01,4978.644
2015-07-01,4749.568
