Date,建築物着工統計.民間.千平米
2013-02-01,10245.67
2013-03-01,10636.509
2013-04-01,11538.525
2013-05-01,11403.428
2013-06-01,11838.113
2013-07-01,11921.353
2013-08-01,11819.841
2013-09-01,12565.502
2013-10-01,12212.241
2013-11-01,12146.687
2013-12-01,11940.378
2014-01-01,11143.606
2014-02-01,9758.526
2014-03-01,9875.468
2014-04-01,10683.65
2014-05-01,9510.684
2014-06-01,10843.601
2014-07-01,10190.669
2014-08-01,10586.941
2014-09-01,10341.118
2014-10-01,11431.305
2014-11-01,10213.396
2014-12-01,9725.642
2015-01-01,9267.512
2015-02-01,9857.904
2015-03-01,9054.126
2015-04-01,10825.503
2015-05-01,10100.766
2015-06-01,11472.81
2015-07-01,10854.081
