Date,建築物着工統計.製造業.千平米
2013-02-01,651.222
2013-03-01,579.971
2013-04-01,606.021
2013-05-01,667.426
2013-06-01,712.96
2013-07-01,710.016
2013-08-01,584.285
2013-09-01,744.213
2013-10-01,638.176
2013-11-01,580.977
2013-12-01,899.352
2014-01-01,680.907
2014-02-01,646.074
2014-03-01,644.183
2014-04-01,566.332
2014-05-01,816.963
2014-06-01,616.737
2014-07-01,631.368
2014-08-01,660.829
2014-09-01,655.941
2014-10-01,900.829
2014-11-01,492.354
2014-12-01,604.719
2015-01-01,618.18
2015-02-01,792.416
2015-03-01,653.495
2015-04-01,754.211
2015-05-01,855.763
2015-06-01,726.443
2015-07-01,737.719
