Date,建築物着工統計.鉄筋コンクリート造.千平米
2013-02-01,2612.862
2013-03-01,2520.768
2013-04-01,2608.721
2013-05-01,2521.438
2013-06-01,2437.632
2013-07-01,2539.837
2013-08-01,2452.538
2013-09-01,2908.389
2013-10-01,2409.567
2013-11-01,2120.5
2013-12-01,2348.004
2014-01-01,2597.077
2014-02-01,2393.713
2014-03-01,2338.043
2014-04-01,2676.218
2014-05-01,1877.862
2014-06-01,2276.811
2014-07-01,2140.369
2014-08-01,2472.471
2014-09-01,2068.122
2014-10-01,2531.809
2014-11-01,1990.896
2014-12-01,1860.125
2015-01-01,1972.178
2015-02-01,2087.123
2015-03-01,1692.075
2015-04-01,2233.017
2015-05-01,2130.251
2015-06-01,2532.978
2015-07-01,1756.263
