Date,建築物着工統計.鉄骨鉄筋コンクリート造.千平米
2013-02-01,302.028
2013-03-01,320.293
2013-04-01,373.239
2013-05-01,283.065
2013-06-01,123.646
2013-07-01,159.732
2013-08-01,200.282
2013-09-01,343.635
2013-10-01,374.249
2013-11-01,510.022
2013-12-01,219.006
2014-01-01,359.953
2014-02-01,269.573
2014-03-01,248.909
2014-04-01,344.819
2014-05-01,291.848
2014-06-01,290.237
2014-07-01,252.648
2014-08-01,203.808
2014-09-01,297.854
2014-10-01,375.916
2014-11-01,99.157
2014-12-01,166.322
2015-01-01,203.287
2015-02-01,166.357
2015-03-01,326.989
2015-04-01,525.891
2015-05-01,88.582
2015-06-01,97.192
2015-07-01,492.213
