Date,建築物着工統計.鉱業，採石業，砂利採取業，建設業.千平米
2013-02-01,61.742
2013-03-01,59.208
2013-04-01,95.051
2013-05-01,60.119
2013-06-01,95.391
2013-07-01,74.945
2013-08-01,64.457
2013-09-01,96.611
2013-10-01,59.464
2013-11-01,69.36
2013-12-01,80.026
2014-01-01,79.813
2014-02-01,53.152
2014-03-01,51.684
2014-04-01,66.357
2014-05-01,61.573
2014-06-01,72.692
2014-07-01,86.463
2014-08-01,99.739
2014-09-01,80.104
2014-10-01,65.232
2014-11-01,126.413
2014-12-01,61.321
2015-01-01,99.154
2015-02-01,53.23
2015-03-01,82.992
2015-04-01,82.497
2015-05-01,95.787
2015-06-01,114.289
2015-07-01,105.848
