Date,建築物着工統計.非居住.千平米
2013-02-01,4323.915
2013-03-01,4700.662
2013-04-01,5050.309
2013-05-01,4614.207
2013-06-01,4853.813
2013-07-01,4852.82
2013-08-01,4611.63
2013-09-01,5161.554
2013-10-01,4818.026
2013-11-01,4579.068
2013-12-01,4490.984
2014-01-01,4657.349
2014-02-01,4168.529
2014-03-01,4399.343
2014-04-01,4836.022
2014-05-01,4077.339
2014-06-01,5065.198
2014-07-01,4731.713
2014-08-01,4521.495
2014-09-01,4108.712
2014-10-01,5459.709
2014-11-01,4079.075
2014-12-01,3713.155
2015-01-01,3892.371
2015-02-01,4561.008
2015-03-01,3566.505
2015-04-01,4943.038
2015-05-01,4243.504
2015-06-01,4491.271
2015-07-01,4774.17
