Date,総計.前年同月比
2000-04-01,-4.37
2000-05-01,-4.37
2000-06-01,-4.2
2000-07-01,-3.4
2000-08-01,-2.64
2000-09-01,-0.68
2000-10-01,-1.68
2000-11-01,-0.37
2000-12-01,-0.45
2001-01-01,5.09
2001-02-01,7.14
2001-03-01,8.82
2001-04-01,0.96
2001-05-01,-9.44
2001-06-01,-7.55
2001-07-01,-7.1
2001-08-01,-5.8
2001-09-01,-4.51
2001-10-01,-4.72
2001-11-01,-5.12
2001-12-01,-5.07
2002-01-01,-5.75
2002-02-01,-6.23
2002-03-01,-9.59
2002-04-01,-6.56
2002-05-01,-4.95
2002-06-01,-4.58
2002-07-01,-4.37
2002-08-01,-4.56
2002-09-01,-5.4
2002-10-01,-5.19
2002-11-01,-4.75
2002-12-01,-6.2
2003-01-01,-5.88
2003-02-01,-6.3
2003-03-01,-6.44
2003-04-01,-5.89
2003-05-01,-5.7
2003-06-01,-4.2
2003-07-01,-4.58
2003-08-01,-5.28
2003-09-01,-6.41
2003-10-01,-4.94
2003-11-01,-7.16
2003-12-01,-8.4
2004-01-01,-8.1
2004-02-01,-6.92
2004-03-01,-7.49
2004-04-01,-5.51
2004-05-01,-6.34
2004-06-01,-7
2004-07-01,-6.19
2004-08-01,-5.32
2004-09-01,-4.17
2004-10-01,-4.4
2004-11-01,-3.02
2004-12-01,-2.61
2005-01-01,-4.3
2005-02-01,-3.83
2005-03-01,-0.87
2005-04-01,-2.82
2005-05-01,0.32
2005-06-01,1.26
2005-07-01,1.41
2005-08-01,1.14
2005-09-01,1.29
2005-10-01,0.7
2005-11-01,1.64
2005-12-01,1.76
2006-01-01,3.09
2006-02-01,3.34
2006-03-01,1.89
2006-04-01,2.48
2006-05-01,1.98
2006-06-01,-0.45
2006-07-01,-2.14
2006-08-01,-2.2
2006-09-01,-2.58
2006-10-01,-2.09
2006-11-01,-2.45
2006-12-01,-1.68
2007-01-01,-1.4
2007-02-01,-1.48
2007-03-01,-2.7
2007-04-01,-0.98
2007-05-01,-1.13
2007-06-01,-0.49
2007-07-01,-0.81
2007-08-01,-4.69
2007-09-01,-7.68
2007-10-01,-8.89
2007-11-01,-8.1
2007-12-01,-8.4
2008-01-01,-7.77
2008-02-01,-6.8
2008-03-01,-5.58
2008-04-01,-6.6
2008-05-01,-7.57
2008-06-01,-7.82
2008-07-01,-7.26
2008-08-01,-1.84
2008-09-01,2
2008-10-01,3.65
2008-11-01,2.19
2008-12-01,2.28
2009-01-01,0.47
2009-02-01,-0.74
2009-03-01,-2.12
2009-04-01,-1.6
2009-05-01,-2.92
2009-06-01,-5.93
2009-07-01,-8.78
2009-08-01,-11.91
2009-09-01,-14.26
2009-10-01,-15.41
2009-11-01,-13.33
2009-12-01,-13.36
2010-01-01,3.53
2010-02-01,-1.43
2010-03-01,-9.55
2010-04-01,-18.61
2010-05-01,-9.11
2010-06-01,-8.74
2010-07-01,-6.34
2010-08-01,-2.86
2010-09-01,-4.09
2010-10-01,-2.18
2010-11-01,-2.44
2010-12-01,-1.12
2011-01-01,0.18
2011-02-01,0.14
2011-03-01,-3.67
2011-04-01,-3.09
2011-05-01,-4.7
2011-06-01,-3.81
2011-07-01,-4.77
2011-08-01,-3.56
2011-09-01,0.89
2011-10-01,-3.27
2011-11-01,-4.38
2011-12-01,-6.1
2012-01-01,-3.6
2012-02-01,-2.43
2012-03-01,0.31
2012-04-01,2.89
2012-05-01,4.88
2012-06-01,5.07
2012-07-01,4.45
2012-08-01,2.99
2012-09-01,3.66
2012-10-01,4.92
2012-11-01,8
2012-12-01,8.58
2013-01-01,8.33
2013-02-01,6.03
2013-03-01,6.31
2013-04-01,7.95
2013-05-01,10.31
2013-06-01,14.22
2013-07-01,16.5
2013-08-01,16.14
2013-09-01,16.19
2013-10-01,18.13
2013-11-01,17.9
2013-12-01,16.91
2014-01-01,14.26
2014-02-01,12.15
2014-03-01,10.85
2014-04-01,6.62
2014-05-01,3.71
2014-06-01,2.77
2014-07-01,0.45
2014-08-01,1.24
2014-09-01,0.31
2014-10-01,-0.59
2014-11-01,-1.36
2014-12-01,-1.74
2015-01-01,-1.31
2015-02-01,-2.1
2015-03-01,-0.69
2015-04-01,3.42
2015-05-01,3.32
2015-06-01,2.55
2015-07-01,5.25
