Date,教育、学習支援業
2008-03-01,39675
2008-06-01,15634
2008-09-01,16520
2008-12-01,40879
2009-03-01,16054
2009-06-01,21456
2009-09-01,29405
2009-12-01,16829
2010-03-01,22827
2010-06-01,26654
2010-09-01,33601
2010-12-01,18227
2011-03-01,22790
2011-06-01,12683
2011-09-01,15547
2011-12-01,33270
2012-03-01,39716
2012-06-01,17556
2012-09-01,22213
2012-12-01,18586
2013-03-01,27485
2013-06-01,30538
2013-09-01,20373
2013-12-01,21592
2014-03-01,46477
2014-06-01,13881
2014-09-01,20522
2014-12-01,20435
2015-03-01,36942
2015-06-01,14533
