Date,教養娯楽サービス
2013-02-01,97.4
2013-03-01,97.6
2013-04-01,99.1
2013-05-01,99.3
2013-06-01,99.1
2013-07-01,99.9
2013-08-01,102.8
2013-09-01,99.8
2013-10-01,100.7
2013-11-01,100
2013-12-01,100
2014-01-01,98.1
2014-02-01,98.5
2014-03-01,99.3
2014-04-01,103.2
2014-05-01,102.6
2014-06-01,102.6
2014-07-01,103.7
2014-08-01,106.8
2014-09-01,103.8
2014-10-01,104.7
2014-11-01,103.2
2014-12-01,103.7
2015-01-01,101.3
2015-02-01,102
2015-03-01,103.5
2015-04-01,103.2
2015-05-01,103.6
2015-06-01,103.3
2015-07-01,104.9
