Date,マネタリーベース平均残高
2010-01-01,98.0675
2010-02-01,95.6928
2010-03-01,96.4571
2010-04-01,98.3836
2010-05-01,98.4323
2010-06-01,97.024
2010-07-01,98.9359
2010-08-01,98.3995
2010-09-01,97.7173
2010-10-01,98.8248
2010-11-01,99.1866
2010-12-01,104.0238
2011-01-01,103.4826
2011-02-01,101.0039
2011-03-01,112.7432
2011-04-01,121.8934
2011-05-01,114.4208
2011-06-01,113.478
2011-07-01,113.7324
2011-08-01,114.0447
2011-09-01,114.0181
2011-10-01,115.6428
2011-11-01,118.4978
2011-12-01,118.0195
2012-01-01,118.9656
2012-02-01,112.4409
2012-03-01,112.4618
2012-04-01,121.5003
2012-05-01,117.121
2012-06-01,120.2142
2012-07-01,123.501
2012-08-01,121.4626
2012-09-01,124.3261
2012-10-01,128.1344
2012-11-01,124.4449
2012-12-01,131.9837
2013-01-01,131.9205
2013-02-01,129.3148
2013-03-01,134.7413
2013-04-01,149.5975
2013-05-01,154.1412
2013-06-01,163.5375
2013-07-01,170.389
2013-08-01,172.4437
2013-09-01,181.7012
2013-10-01,186.8687
2013-11-01,189.7244
2013-12-01,193.4594
2014-01-01,200.4141
2014-02-01,201.3223
2014-03-01,208.5929
2014-04-01,222.0795
2014-05-01,224.3719
2014-06-01,233.2465
2014-07-01,243.1068
2014-08-01,242.3138
2014-09-01,245.8169
2014-10-01,255.7542
2014-11-01,259.3603
2014-12-01,267.4016
2015-01-01,275.3859
2015-02-01,275.2617
2015-03-01,282.1182
2015-04-01,300.3275
2015-05-01,304.3476
2015-06-01,313.077
2015-07-01,322.8211
2015-08-01,322.9269
2015-09-01,332.1941
2015-10-01,338.8877
2015-11-01,343.7218
2015-12-01,346.3793
