Date,マネタリーベース平均残高／うち 日銀当座預金
2010-01-01,15.686
2010-02-01,14.8834
2010-03-01,15.1287
2010-04-01,16.7404
2010-05-01,16.668
2010-06-01,16.1079
2010-07-01,17.3788
2010-08-01,17.0379
2010-09-01,16.6128
2010-10-01,17.5564
2010-11-01,17.5848
2010-12-01,19.7892
2011-01-01,19.5315
2011-02-01,18.3568
2011-03-01,28.5498
2011-04-01,37.4003
2011-05-01,30.421
2011-06-01,30.471
2011-07-01,30.1126
2011-08-01,30.5702
2011-09-01,30.7103
2011-10-01,32.4157
2011-11-01,35.0151
2011-12-01,31.9111
2012-01-01,33.1728
2012-02-01,28.0484
2012-03-01,27.5106
2012-04-01,36.3191
2012-05-01,31.8611
2012-06-01,35.5032
2012-07-01,38.0501
2012-08-01,36.0747
2012-09-01,39.1947
2012-10-01,42.8428
2012-11-01,38.8277
2012-12-01,43.5567
2013-01-01,43.5197
2013-02-01,42.4196
2013-03-01,47.3674
2013-04-01,61.9433
2013-05-01,66.305
2013-06-01,76.159
2013-07-01,82.3519
2013-08-01,84.3254
2013-09-01,93.7486
2013-10-01,98.7576
2013-11-01,101.1535
2013-12-01,101.8478
2014-01-01,108.671
2014-02-01,111.248
2014-03-01,117.8882
2014-04-01,131.447
2014-05-01,133.6433
2014-06-01,143.0031
2014-07-01,152.1889
2014-08-01,151.2314
2014-09-01,154.9156
2014-10-01,164.6186
2014-11-01,167.6452
2014-12-01,172.6512
2015-01-01,180.5957
2015-02-01,181.9484
2015-03-01,188.2382
2015-04-01,206.1602
2015-05-01,209.7476
2015-06-01,218.7786
2015-07-01,227.5161
2015-08-01,227.2613
2015-09-01,236.1564
2015-10-01,242.4597
2015-11-01,246.5776
2015-12-01,246.1375
