Date,マネタリーベース平均残高
1970-01-01,4.5652
1970-02-01,4.2889
1970-03-01,4.4223
1970-04-01,4.4354
1970-05-01,4.3996
1970-06-01,4.5532
1970-07-01,4.771
1970-08-01,4.7586
1970-09-01,4.5499
1970-10-01,4.6467
1970-11-01,4.6766
1970-12-01,5.8302
1971-01-01,5.3149
1971-02-01,5.006
1971-03-01,5.1169
1971-04-01,5.1425
1971-05-01,5.1431
1971-06-01,5.281
1971-07-01,5.576
1971-08-01,5.5868
1971-09-01,5.3424
1971-10-01,5.4164
1971-11-01,5.4232
1971-12-01,6.7425
1972-01-01,6.1839
1972-02-01,5.7815
1972-03-01,5.9427
1972-04-01,6.0611
1972-05-01,5.9565
1972-06-01,6.3082
1972-07-01,6.5832
1972-08-01,6.5556
1972-09-01,6.4183
1972-10-01,6.5713
1972-11-01,6.6684
1972-12-01,8.3241
1973-01-01,7.8806
1973-02-01,7.509
1973-03-01,7.8792
1973-04-01,8.3415
1973-05-01,8.2773
1973-06-01,8.5578
1973-07-01,9.2612
1973-08-01,9.1702
1973-09-01,9.067
1973-10-01,9.3395
1973-11-01,9.5354
1973-12-01,11.3105
1974-01-01,10.8047
1974-02-01,10.153
1974-03-01,10.3385
1974-04-01,10.4664
1974-05-01,10.4911
1974-06-01,10.9423
1974-07-01,11.598
1974-08-01,11.3653
1974-09-01,11.0511
1974-10-01,11.0777
1974-11-01,11.3462
1974-12-01,13.2497
1975-01-01,12.7912
1975-02-01,11.8119
1975-03-01,12.0309
1975-04-01,12.1997
1975-05-01,11.924
1975-06-01,12.3713
1975-07-01,12.8796
1975-08-01,12.768
1975-09-01,12.3821
1975-10-01,12.3939
1975-11-01,12.5027
1975-12-01,14.3574
1976-01-01,13.4134
1976-02-01,12.5227
1976-03-01,12.45
1976-04-01,12.6441
1976-05-01,12.6091
1976-06-01,12.714
1976-07-01,13.3537
1976-08-01,13.1895
1976-09-01,12.7874
1976-10-01,12.8262
1976-11-01,13.0964
1976-12-01,15.4631
1977-01-01,14.4368
1977-02-01,13.7267
1977-03-01,13.5653
1977-04-01,14.2423
1977-05-01,13.336
1977-06-01,13.9181
1977-07-01,14.6866
1977-08-01,14.4431
1977-09-01,13.9208
1977-10-01,13.9365
1977-11-01,13.5659
1977-12-01,16.5086
1978-01-01,15.3803
1978-02-01,14.5724
1978-03-01,14.84
1978-04-01,15.3389
1978-05-01,14.7716
1978-06-01,15.2261
1978-07-01,15.6034
1978-08-01,15.7831
1978-09-01,15.4029
1978-10-01,15.4656
1978-11-01,15.6247
1978-12-01,18.7986
1979-01-01,17.638
1979-02-01,16.2439
1979-03-01,16.4119
1979-04-01,16.6328
1979-05-01,16.4621
1979-06-01,16.6846
1979-07-01,17.1627
1979-08-01,17.2738
1979-09-01,16.6614
1979-10-01,16.7608
1979-11-01,16.8389
1979-12-01,19.9528
1980-01-01,18.7775
1980-02-01,17.5206
1980-03-01,18.305
1980-04-01,19.087
1980-05-01,18.8262
1980-06-01,19.1181
1980-07-01,19.4043
1980-08-01,19.2154
1980-09-01,18.5748
1980-10-01,18.4109
1980-11-01,18.7772
1980-12-01,21.3292
1981-01-01,19.8514
1981-02-01,18.5391
1981-03-01,19.0574
1981-04-01,18.7251
1981-05-01,18.3477
1981-06-01,18.6085
1981-07-01,19.1493
1981-08-01,19.1526
1981-09-01,18.4597
1981-10-01,18.5303
1981-11-01,18.666
1981-12-01,22.122
1982-01-01,20.3012
1982-02-01,19.0976
1982-03-01,19.6212
1982-04-01,20.0308
1982-05-01,19.7649
1982-06-01,19.9542
1982-07-01,20.5925
1982-08-01,20.6837
1982-09-01,19.8824
1982-10-01,20.0746
1982-11-01,20.2262
1982-12-01,23.6757
1983-01-01,21.7482
1983-02-01,20.679
1983-03-01,21.3271
1983-04-01,21.1911
1983-05-01,20.9675
1983-06-01,21.0848
1983-07-01,21.6326
1983-08-01,21.7429
1983-09-01,20.8515
1983-10-01,21.1361
1983-11-01,21.0419
1983-12-01,24.741
1984-01-01,22.7762
1984-02-01,21.5757
1984-03-01,22.0782
1984-04-01,22.2407
1984-05-01,21.8588
1984-06-01,21.8779
1984-07-01,22.8506
1984-08-01,22.634
1984-09-01,22.1534
1984-10-01,21.9798
1984-11-01,22.8555
1984-12-01,25.8978
1985-01-01,24.6239
1985-02-01,23.0575
1985-03-01,23.8265
1985-04-01,23.7406
1985-05-01,23.4171
1985-06-01,23.3564
1985-07-01,24.4039
1985-08-01,24.1269
1985-09-01,23.4637
1985-10-01,23.4064
1985-11-01,23.9461
1985-12-01,27.6257
1986-01-01,26.2132
1986-02-01,24.6712
1986-03-01,25.2406
1986-04-01,25.2361
1986-05-01,25.2227
1986-06-01,25.1637
1986-07-01,25.9123
1986-08-01,25.6055
1986-09-01,24.9699
1986-10-01,24.994
1986-11-01,26.5139
1986-12-01,30.0411
1987-01-01,28.6064
1987-02-01,27.5165
1987-03-01,28.2616
1987-04-01,28.1725
1987-05-01,28.3774
1987-06-01,28.2996
1987-07-01,29.4789
1987-08-01,29.3357
1987-09-01,28.6867
1987-10-01,28.8388
1987-11-01,29.252
1987-12-01,33.1571
1988-01-01,31.565
1988-02-01,30.4378
1988-03-01,31.5336
1988-04-01,31.7578
1988-05-01,31.9577
1988-06-01,31.2567
1988-07-01,32.7743
1988-08-01,32.4104
1988-09-01,31.8235
1988-10-01,31.9102
1988-11-01,32.2942
1988-12-01,36.1981
1989-01-01,35.1257
1989-02-01,33.9679
1989-03-01,34.9457
1989-04-01,35.2108
1989-05-01,35.3491
1989-06-01,34.7511
1989-07-01,36.2138
1989-08-01,36.2399
1989-09-01,35.325
1989-10-01,35.6228
1989-11-01,36.0433
1989-12-01,40.7692
1990-01-01,39.6438
1990-02-01,37.9074
1990-03-01,38.7141
1990-04-01,39.8966
1990-05-01,38.8227
1990-06-01,38.0177
1990-07-01,39.7725
1990-08-01,39.3872
1990-09-01,38.488
1990-10-01,38.0905
1990-11-01,38.4221
1990-12-01,43.479
1991-01-01,41.6599
1991-02-01,38.9282
1991-03-01,40.3003
1991-04-01,40.0518
1991-05-01,39.6596
1991-06-01,39.3195
1991-07-01,40.593
1991-08-01,39.9507
1991-09-01,38.837
1991-10-01,38.3696
1991-11-01,37.8262
1991-12-01,42.2588
1992-01-01,40.3151
1992-02-01,38.1986
1992-03-01,38.6773
1992-04-01,38.4556
1992-05-01,38.3633
1992-06-01,37.7922
1992-07-01,39.3184
1992-08-01,38.986
1992-09-01,38.0155
1992-10-01,37.8849
1992-11-01,38.2626
1992-12-01,42.8679
1993-01-01,40.8398
1993-02-01,39.2381
1993-03-01,39.7115
1993-04-01,39.7225
1993-05-01,40.0557
1993-06-01,39.1313
1993-07-01,40.7699
1993-08-01,40.2591
1993-09-01,39.304
1993-10-01,39.7367
1993-11-01,39.7256
1993-12-01,44.4684
1994-01-01,42.7146
1994-02-01,40.8951
1994-03-01,41.5721
1994-04-01,41.5318
1994-05-01,41.7403
1994-06-01,40.6934
