Date,マネタリーベース平均残高／うち 日銀当座預金
1981-04-01,2.3856
1981-05-01,2.1036
1981-06-01,2.0992
1981-07-01,2.1265
1981-08-01,2.1389
1981-09-01,2.1591
1981-10-01,2.1974
1981-11-01,2.1098
1981-12-01,2.1682
1982-01-01,2.2806
1982-02-01,2.2365
1982-03-01,2.1192
1982-04-01,2.4325
1982-05-01,2.2732
1982-06-01,2.3167
1982-07-01,2.3592
1982-08-01,2.4438
1982-09-01,2.3207
1982-10-01,2.3905
1982-11-01,2.402
1982-12-01,2.4261
1983-01-01,2.4084
1983-02-01,2.4604
1983-03-01,2.4795
1983-04-01,2.405
1983-05-01,2.5025
1983-06-01,2.4788
1983-07-01,2.4142
1983-08-01,2.5487
1983-09-01,2.3492
1983-10-01,2.5554
1983-11-01,2.4735
1983-12-01,2.5823
1984-01-01,2.5652
1984-02-01,2.6256
1984-03-01,2.5323
1984-04-01,2.6663
1984-05-01,2.6566
1984-06-01,2.6066
1984-07-01,2.6426
1984-08-01,2.706
1984-09-01,2.7369
1984-10-01,2.645
1984-11-01,3.0065
1984-12-01,2.488
1985-01-01,2.8815
1985-02-01,2.8189
1985-03-01,2.9092
1985-04-01,2.9004
1985-05-01,2.8903
1985-06-01,2.8694
1985-07-01,2.9435
1985-08-01,2.9623
1985-09-01,2.9028
1985-10-01,2.8768
1985-11-01,3.1055
1985-12-01,2.9095
1986-01-01,3.1776
1986-02-01,3.1509
1986-03-01,3.0964
1986-04-01,3.1372
1986-05-01,3.2764
1986-06-01,3.1789
1986-07-01,2.8159
1986-08-01,2.4992
1986-09-01,2.6067
1986-10-01,2.5485
1986-11-01,2.6372
1986-12-01,2.6337
1987-01-01,2.6549
1987-02-01,2.9145
1987-03-01,2.8636
1987-04-01,2.8434
1987-05-01,2.9702
1987-06-01,3.1013
1987-07-01,3.1122
1987-08-01,2.9789
1987-09-01,3.0755
1987-10-01,3.1087
1987-11-01,3.1364
1987-12-01,3.2704
1988-01-01,3.3303
1988-02-01,3.2765
1988-03-01,3.3601
1988-04-01,3.4095
1988-05-01,3.5523
1988-06-01,3.4136
1988-07-01,3.6245
1988-08-01,3.5822
1988-09-01,3.7751
1988-10-01,3.719
1988-11-01,3.868
1988-12-01,3.5603
1989-01-01,4.0183
1989-02-01,3.763
1989-03-01,3.9101
1989-04-01,4.1568
1989-05-01,4.1193
1989-06-01,3.9881
1989-07-01,4.0061
1989-08-01,4.3112
1989-09-01,4.1334
1989-10-01,4.4085
1989-11-01,4.4201
1989-12-01,4.4941
1990-01-01,4.6086
1990-02-01,4.7582
1990-03-01,4.8238
1990-04-01,4.6176
1990-05-01,4.7704
1990-06-01,4.7984
1990-07-01,5.0448
1990-08-01,5.1783
1990-09-01,5.0013
1990-10-01,4.6311
1990-11-01,4.8501
1990-12-01,5.0272
1991-01-01,4.8973
1991-02-01,4.6523
1991-03-01,5.2446
1991-04-01,5.0031
1991-05-01,4.9082
1991-06-01,4.9424
1991-07-01,4.8901
1991-08-01,4.9531
1991-09-01,4.6966
1991-10-01,4.2094
1991-11-01,3.437
1991-12-01,3.0872
1992-01-01,2.7216
1992-02-01,3.0371
1992-03-01,2.9109
1992-04-01,2.9893
1992-05-01,2.9023
1992-06-01,2.8856
1992-07-01,2.8679
1992-08-01,2.8621
1992-09-01,3.0392
1992-10-01,2.7583
1992-11-01,2.8931
1992-12-01,2.9234
1993-01-01,2.7825
1993-02-01,2.9765
1993-03-01,2.9649
1993-04-01,2.8475
1993-05-01,3.0025
1993-06-01,2.9129
1993-07-01,2.9298
1993-08-01,2.9419
1993-09-01,2.8745
1993-10-01,3.013
1993-11-01,2.9342
1993-12-01,2.9544
1994-01-01,2.962
1994-02-01,2.9639
1994-03-01,3.0182
1994-04-01,2.9588
1994-05-01,3.0914
1994-06-01,2.9428
1994-07-01,2.9656
1994-08-01,3.0366
1994-09-01,2.9746
1994-10-01,3.0338
1994-11-01,2.9874
1994-12-01,3.0265
1995-01-01,3.0588
1995-02-01,2.9336
1995-03-01,3.1077
1995-04-01,3.176
1995-05-01,3.0699
1995-06-01,3.0273
1995-07-01,3.0845
1995-08-01,3.1526
1995-09-01,3.1516
1995-10-01,3.1605
1995-11-01,3.1422
1995-12-01,3.1797
1996-01-01,3.2243
1996-02-01,3.3172
1996-03-01,3.132
1996-04-01,3.3348
1996-05-01,3.232
1996-06-01,3.2702
1996-07-01,3.3714
1996-08-01,3.1294
1996-09-01,3.2876
1996-10-01,3.2885
1996-11-01,3.3134
1996-12-01,3.3418
1997-01-01,3.4207
1997-02-01,3.3761
1997-03-01,3.3553
1997-04-01,3.422
1997-05-01,3.3582
1997-06-01,3.4563
1997-07-01,3.4783
1997-08-01,3.3536
1997-09-01,3.5168
1997-10-01,3.3887
1997-11-01,3.7759
1997-12-01,3.6906
1998-01-01,3.6622
1998-02-01,3.6885
1998-03-01,3.5413
1998-04-01,3.5938
1998-05-01,3.5346
1998-06-01,4.0056
1998-07-01,3.3834
1998-08-01,3.7208
1998-09-01,3.8471
1998-10-01,3.8806
1998-11-01,3.6331
1998-12-01,3.9551
1999-01-01,3.8125
1999-02-01,4.0205
1999-03-01,4.4936
1999-04-01,4.6891
1999-05-01,4.6998
1999-06-01,4.6746
1999-07-01,4.7994
1999-08-01,4.8873
1999-09-01,4.9891
1999-10-01,4.7528
1999-11-01,4.8439
1999-12-01,7.1627
2000-01-01,11.4035
2000-02-01,5.676
2000-03-01,6.7932
2000-04-01,6.3286
2000-05-01,5.2207
2000-06-01,5.0879
2000-07-01,5.3323
2000-08-01,4.7265
2000-09-01,3.971
2000-10-01,3.8232
2000-11-01,3.8897
2000-12-01,4.2036
2001-01-01,4.9913
2001-02-01,4.2336
2001-03-01,4.5394
2001-04-01,5.0885
2001-05-01,5.0757
2001-06-01,5.0821
2001-07-01,5.1016
2001-08-01,5.5642
2001-09-01,8.0824
2001-10-01,8.554
2001-11-01,9.2093
2001-12-01,10.8051
2002-01-01,14.9865
2002-02-01,15.0328
2002-03-01,17.5518
2002-04-01,19.9864
2002-05-01,15.6612
2002-06-01,15.0415
2002-07-01,14.9491
2002-08-01,15.1299
2002-09-01,15.2045
2002-10-01,15.2212
2002-11-01,18.094
2002-12-01,19.7901
2003-01-01,20.125
2003-02-01,20.0858
2003-03-01,22.8332
2003-04-01,27.4157
2003-05-01,27.0292
2003-06-01,28.85
2003-07-01,28.9139
2003-08-01,29.2585
2003-09-01,29.6788
2003-10-01,29.707
2003-11-01,30.0204
2003-12-01,29.9718
2004-01-01,31.2033
2004-02-01,33.1991
2004-03-01,33.0488
2004-04-01,33.0181
2004-05-01,33.2104
2004-06-01,32.6309
2004-07-01,32.9679
2004-08-01,33.1496
2004-09-01,32.9292
2004-10-01,32.4975
2004-11-01,32.5099
2004-12-01,32.6367
2005-01-01,33.4166
2005-02-01,32.6784
2005-03-01,32.5719
2005-04-01,33.0324
2005-05-01,32.7343
2005-06-01,31.9601
2005-07-01,32.0817
2005-08-01,32.1237
2005-09-01,32.9
2005-10-01,33.4937
2005-11-01,33.3352
2005-12-01,32.2486
2006-01-01,33.6289
2006-02-01,33.0879
2006-03-01,30.4396
2006-04-01,24.7613
2006-05-01,15.1672
2006-06-01,13.5173
2006-07-01,11.9884
2006-08-01,9.0511
2006-09-01,8.7854
2006-10-01,9.124
2006-11-01,7.8599
2006-12-01,9.2552
2007-01-01,9.0102
2007-02-01,8.5799
2007-03-01,8.5517
2007-04-01,11.0903
2007-05-01,8.8833
2007-06-01,8.4826
2007-07-01,8.687
2007-08-01,8.6757
2007-09-01,8.278
2007-10-01,8.2631
2007-11-01,7.4838
2007-12-01,8.2224
2008-01-01,7.7152
2008-02-01,7.7834
2008-03-01,7.9222
2008-04-01,8.0654
2008-05-01,7.4649
2008-06-01,8.296
2008-07-01,7.615
2008-08-01,7.8009
2008-09-01,8.7262
2008-10-01,8.8459
2008-11-01,8.3274
2008-12-01,9.4319
2009-01-01,10.9378
2009-02-01,12.9083
2009-03-01,13.3936
2009-04-01,14.6111
2009-05-01,13.5616
2009-06-01,13.2382
2009-07-01,12.4288
2009-08-01,12.837
2009-09-01,11.9996
2009-10-01,12.7196
2009-11-01,11.9375
2009-12-01,14.4903
2010-01-01,15.686
2010-02-01,14.8834
2010-03-01,15.1287
2010-04-01,16.7404
2010-05-01,16.668
2010-06-01,16.1079
2010-07-01,17.3788
2010-08-01,17.0379
2010-09-01,16.6128
2010-10-01,17.5564
2010-11-01,17.5848
2010-12-01,19.7892
2011-01-01,19.5315
2011-02-01,18.3568
2011-03-01,28.5498
2011-04-01,37.4003
2011-05-01,30.421
2011-06-01,30.471
2011-07-01,30.1126
2011-08-01,30.5702
2011-09-01,30.7103
2011-10-01,32.4157
2011-11-01,35.0151
2011-12-01,31.9111
2012-01-01,33.1728
2012-02-01,28.0484
2012-03-01,27.5106
2012-04-01,36.3191
2012-05-01,31.8611
2012-06-01,35.5032
2012-07-01,38.0501
2012-08-01,36.0747
2012-09-01,39.1947
2012-10-01,42.8428
2012-11-01,38.8277
2012-12-01,43.5567
2013-01-01,43.5197
2013-02-01,42.4196
2013-03-01,47.3674
2013-04-01,61.9433
2013-05-01,66.305
2013-06-01,76.159
2013-07-01,82.3519
2013-08-01,84.3254
2013-09-01,93.7486
2013-10-01,98.7576
2013-11-01,101.1535
2013-12-01,101.8478
2014-01-01,108.671
2014-02-01,111.248
2014-03-01,117.8882
2014-04-01,131.447
2014-05-01,133.6433
2014-06-01,143.0031
2014-07-01,152.1889
2014-08-01,151.2314
2014-09-01,154.9156
2014-10-01,164.6186
2014-11-01,167.6452
2014-12-01,172.6512
2015-01-01,180.5957
2015-02-01,181.9484
2015-03-01,188.2382
2015-04-01,206.1602
2015-05-01,209.7476
2015-06-01,218.7786
2015-07-01,227.5161
2015-08-01,227.2613
2015-09-01,236.1564
2015-10-01,242.4597
