Date,大類別／リース・レンタル
1985-01-01,303.9
1985-02-01,300.4
1985-03-01,300.4
1985-04-01,298.8
1985-05-01,297.4
1985-06-01,296
1985-07-01,295.4
1985-08-01,293.3
1985-09-01,293.3
1985-10-01,291.5
1985-11-01,290.9
1985-12-01,290.3
1986-01-01,286.2
1986-02-01,285.6
1986-03-01,284.7
1986-04-01,283.8
1986-05-01,283
1986-06-01,282
1986-07-01,280.2
1986-08-01,280
1986-09-01,278.4
1986-10-01,277.6
1986-11-01,276.4
1986-12-01,275.8
1987-01-01,274.1
1987-02-01,273.5
1987-03-01,268.4
1987-04-01,267.5
1987-05-01,266.4
1987-06-01,264.6
1987-07-01,263.4
1987-08-01,264
1987-09-01,263.1
1987-10-01,261.6
1987-11-01,261
1987-12-01,260.4
1988-01-01,259.2
1988-02-01,258
1988-03-01,258.4
1988-04-01,259
1988-05-01,258
1988-06-01,257.5
1988-07-01,256
1988-08-01,256.3
1988-09-01,256.3
1988-10-01,256.3
1988-11-01,256.3
1988-12-01,256.3
1989-01-01,256.9
1989-02-01,257.2
1989-03-01,256.9
1989-04-01,264.8
1989-05-01,264.2
1989-06-01,264.6
1989-07-01,264.8
1989-08-01,265.2
1989-09-01,265.2
1989-10-01,265.2
1989-11-01,265.4
1989-12-01,264.8
1990-01-01,268.6
1990-02-01,270.3
1990-03-01,270.5
1990-04-01,272.6
1990-05-01,273.5
1990-06-01,272.4
1990-07-01,271.8
1990-08-01,272.9
1990-09-01,274.1
1990-10-01,276
1990-11-01,275.6
1990-12-01,274.1
1991-01-01,273.5
1991-02-01,272.9
1991-03-01,272.4
1991-04-01,272.9
1991-05-01,272.6
1991-06-01,272.9
1991-07-01,273.5
1991-08-01,272.9
1991-09-01,272.9
1991-10-01,269.1
1991-11-01,267.8
1991-12-01,268.2
1992-01-01,266.7
1992-02-01,265.3
1992-03-01,264.2
1992-04-01,264
1992-05-01,263.6
1992-06-01,263.6
1992-07-01,263.1
1992-08-01,262.3
1992-09-01,260.9
1992-10-01,258.5
1992-11-01,256.3
1992-12-01,256.6
1993-01-01,255
1993-02-01,254.1
1993-03-01,252.7
1993-04-01,251.6
1993-05-01,251.9
1993-06-01,252.2
1993-07-01,250.6
1993-08-01,249.2
1993-09-01,248.4
1993-10-01,244.3
1993-11-01,243
1993-12-01,241
1994-01-01,240.3
1994-02-01,239.9
1994-03-01,240.5
1994-04-01,238.8
1994-05-01,238
1994-06-01,237.5
1994-07-01,236.1
1994-08-01,235
1994-09-01,234.8
1994-10-01,232.1
1994-11-01,230.9
1994-12-01,229.6
1995-01-01,234.8
1995-02-01,234.3
1995-03-01,227.3
1995-04-01,224.3
1995-05-01,223.8
1995-06-01,222.6
1995-07-01,221.3
1995-08-01,217.4
1995-09-01,216.7
1995-10-01,214.2
1995-11-01,212.3
1995-12-01,210
1996-01-01,210
1996-02-01,206.2
1996-03-01,202.7
1996-04-01,202.4
1996-05-01,201.1
1996-06-01,198.8
1996-07-01,196.7
1996-08-01,195.2
1996-09-01,193.7
1996-10-01,190.9
1996-11-01,190.7
1996-12-01,189.9
1997-01-01,189.1
1997-02-01,188.8
1997-03-01,188.3
1997-04-01,190.1
1997-05-01,190.6
1997-06-01,190.1
1997-07-01,189.4
1997-08-01,189.4
1997-09-01,188.9
1997-10-01,187.8
1997-11-01,187.8
1997-12-01,187.6
1998-01-01,188.1
1998-02-01,187.8
1998-03-01,187.6
1998-04-01,186.5
1998-05-01,185.2
1998-06-01,185
1998-07-01,184.5
1998-08-01,183.9
1998-09-01,183.7
1998-10-01,183.5
1998-11-01,182.5
1998-12-01,182.2
1999-01-01,181.9
1999-02-01,181.7
1999-03-01,180.7
1999-04-01,180.4
1999-05-01,179.9
1999-06-01,179.4
1999-07-01,179.7
1999-08-01,179.7
1999-09-01,179.4
1999-10-01,179
1999-11-01,178.6
1999-12-01,178.4
2000-01-01,183
2000-02-01,181.7
2000-03-01,179.8
2000-04-01,179.4
2000-05-01,177.2
2000-06-01,176.7
2000-07-01,175.3
2000-08-01,171.2
2000-09-01,168.5
2000-10-01,167.7
2000-11-01,165.2
2000-12-01,161.2
2001-01-01,159.3
2001-02-01,158.1
2001-03-01,157.2
2001-04-01,155.9
2001-05-01,153.7
2001-06-01,152
2001-07-01,151
2001-08-01,149.9
2001-09-01,149.1
2001-10-01,148.8
2001-11-01,147.2
2001-12-01,144.6
2002-01-01,143.5
2002-02-01,144
2002-03-01,143.6
2002-04-01,143.8
2002-05-01,142.8
2002-06-01,141.4
2002-07-01,140.5
2002-08-01,139.5
2002-09-01,138.4
2002-10-01,136.9
2002-11-01,136.5
2002-12-01,135.1
2003-01-01,134.6
2003-02-01,132.8
2003-03-01,132.2
2003-04-01,131.3
2003-05-01,130.9
2003-06-01,129.6
2003-07-01,129.9
2003-08-01,129.9
2003-09-01,129.9
2003-10-01,129.6
2003-11-01,128.7
2003-12-01,128
2004-01-01,127.2
2004-02-01,127.1
2004-03-01,126.7
2004-04-01,125.3
2004-05-01,124.4
2004-06-01,124.5
2004-07-01,124.6
2004-08-01,124.4
2004-09-01,124.2
2004-10-01,123.7
2004-11-01,121.4
2004-12-01,120.4
2005-01-01,121.3
2005-02-01,120.4
2005-03-01,119.7
2005-04-01,119.8
2005-05-01,119.4
2005-06-01,118.8
2005-07-01,118.6
2005-08-01,117.4
2005-09-01,117.4
2005-10-01,117
2005-11-01,116.7
2005-12-01,116.3
2006-01-01,116.6
2006-02-01,116
2006-03-01,116.2
2006-04-01,116.5
2006-05-01,116
2006-06-01,115.7
2006-07-01,115.3
2006-08-01,115.9
2006-09-01,115.4
2006-10-01,115.3
2006-11-01,115.4
2006-12-01,114.9
2007-01-01,114.8
2007-02-01,114.1
2007-03-01,114
2007-04-01,113.1
2007-05-01,112.4
2007-06-01,111.6
2007-07-01,111.8
2007-08-01,111.7
2007-09-01,110.6
2007-10-01,110.9
2007-11-01,110.9
2007-12-01,110.4
2008-01-01,110.4
2008-02-01,109.9
2008-03-01,109.6
2008-04-01,109
2008-05-01,108.7
2008-06-01,108.2
2008-07-01,108
2008-08-01,107.7
2008-09-01,107.7
2008-10-01,107.7
2008-11-01,107.7
2008-12-01,107.6
2009-01-01,107.2
2009-02-01,106.8
2009-03-01,106.3
2009-04-01,105.9
2009-05-01,105.5
2009-06-01,105.3
2009-07-01,104.4
2009-08-01,103.9
2009-09-01,102.9
2009-10-01,102.9
2009-11-01,102.2
2009-12-01,102.2
2010-01-01,102.9
2010-02-01,102.4
2010-03-01,101.5
2010-04-01,100.2
2010-05-01,100.5
2010-06-01,100.4
2010-07-01,99.2
2010-08-01,99.2
2010-09-01,98.9
2010-10-01,98.7
2010-11-01,98
2010-12-01,98.1
2011-01-01,97.8
2011-02-01,97.5
2011-03-01,97.1
2011-04-01,96.8
2011-05-01,95.5
2011-06-01,96.3
2011-07-01,95.6
2011-08-01,96.1
2011-09-01,95.7
2011-10-01,95.5
2011-11-01,94.7
2011-12-01,94.7
2012-01-01,94.6
2012-02-01,94.5
2012-03-01,94.9
2012-04-01,94.5
2012-05-01,94
2012-06-01,93.1
2012-07-01,93
2012-08-01,92.6
2012-09-01,92.2
2012-10-01,92.6
2012-11-01,92.8
2012-12-01,92.7
2013-01-01,93
2013-02-01,93.5
2013-03-01,93.5
2013-04-01,93.4
2013-05-01,93.3
2013-06-01,93.1
2013-07-01,93.2
2013-08-01,92.8
2013-09-01,92.8
2013-10-01,92.9
2013-11-01,92.9
2013-12-01,93.2
2014-01-01,93.7
2014-02-01,94
2014-03-01,93.9
2014-04-01,96.8
2014-05-01,96.9
2014-06-01,96.4
2014-07-01,97.1
2014-08-01,96.3
2014-09-01,96.5
2014-10-01,97
2014-11-01,97.5
2014-12-01,97.8
2015-01-01,97.9
2015-02-01,97.9
2015-03-01,97.6
2015-04-01,97.1
2015-05-01,98
2015-06-01,98
2015-07-01,97.5
2015-08-01,97.8
