Date,労働力人口 男女計 季節調整値
1953-01-01,4122
1953-02-01,4001
1953-03-01,4008
1953-04-01,3956
1953-05-01,3917
1953-06-01,3940
1953-07-01,3957
1953-08-01,3963
1953-09-01,3982
1953-10-01,4015
1953-11-01,4018
1953-12-01,4017
1954-01-01,3959
1954-02-01,3996
1954-03-01,4021
1954-04-01,4036
1954-05-01,4073
1954-06-01,4039
1954-07-01,4087
1954-08-01,4088
1954-09-01,4079
1954-10-01,4105
1954-11-01,4091
1954-12-01,4079
1955-01-01,4050
1955-02-01,4129
1955-03-01,4137
1955-04-01,4167
1955-05-01,4199
1955-06-01,4204
1955-07-01,4195
1955-08-01,4209
1955-09-01,4253
1955-10-01,4250
1955-11-01,4261
1955-12-01,4268
1956-01-01,4265
1956-02-01,4237
1956-03-01,4245
1956-04-01,4268
1956-05-01,4268
1956-06-01,4293
1956-07-01,4271
1956-08-01,4271
1956-09-01,4264
1956-10-01,4265
1956-11-01,4281
1956-12-01,4314
1957-01-01,4383
1957-02-01,4384
1957-03-01,4358
1957-04-01,4346
1957-05-01,4290
1957-06-01,4316
1957-07-01,4356
1957-08-01,4384
1957-09-01,4372
1957-10-01,4381
1957-11-01,4408
1957-12-01,4403
1958-01-01,4393
1958-02-01,4379
1958-03-01,4385
1958-04-01,4347
1958-05-01,4393
1958-06-01,4407
1958-07-01,4373
1958-08-01,4381
1958-09-01,4384
1958-10-01,4393
1958-11-01,4400
1958-12-01,4428
1959-01-01,4421
1959-02-01,4396
1959-03-01,4420
1959-04-01,4437
1959-05-01,4457
1959-06-01,4452
1959-07-01,4440
1959-08-01,4441
1959-09-01,4425
1959-10-01,4460
1959-11-01,4451
1959-12-01,4399
1960-01-01,4433
1960-02-01,4497
1960-03-01,4476
1960-04-01,4496
1960-05-01,4501
1960-06-01,4500
1960-07-01,4527
1960-08-01,4525
1960-09-01,4562
1960-10-01,4533
1960-11-01,4523
1960-12-01,4551
1961-01-01,4579
1961-02-01,4555
1961-03-01,4553
1961-04-01,4558
1961-05-01,4538
1961-06-01,4514
1961-07-01,4559
1961-08-01,4542
1961-09-01,4575
1961-10-01,4573
1961-11-01,4606
1961-12-01,4605
1962-01-01,4614
1962-02-01,4606
1962-03-01,4581
1962-04-01,4600
1962-05-01,4605
1962-06-01,4621
1962-07-01,4602
1962-08-01,4638
1962-09-01,4627
1962-10-01,4618
1962-11-01,4620
1962-12-01,4645
1963-01-01,4533
1963-02-01,4622
1963-03-01,4663
1963-04-01,4645
1963-05-01,4647
1963-06-01,4646
1963-07-01,4657
1963-08-01,4672
1963-09-01,4682
1963-10-01,4685
1963-11-01,4687
1963-12-01,4693
1964-01-01,4726
1964-02-01,4673
1964-03-01,4696
1964-04-01,4710
1964-05-01,4715
1964-06-01,4696
1964-07-01,4704
1964-08-01,4706
1964-09-01,4709
1964-10-01,4741
1964-11-01,4731
1964-12-01,4723
1965-01-01,4764
1965-02-01,4766
1965-03-01,4750
1965-04-01,4761
1965-05-01,4752
1965-06-01,4779
1965-07-01,4778
1965-08-01,4805
1965-09-01,4828
1965-10-01,4823
1965-11-01,4820
1965-12-01,4833
1966-01-01,4866
1966-02-01,4888
1966-03-01,4870
1966-04-01,4875
1966-05-01,4879
1966-06-01,4889
1966-07-01,4903
1966-08-01,4897
1966-09-01,4894
1966-10-01,4928
1966-11-01,4903
1966-12-01,4915
1967-01-01,4908
1967-02-01,4928
1967-03-01,4977
1967-04-01,4957
1967-05-01,4993
1967-06-01,5027
1967-07-01,5020
1967-08-01,4987
1967-09-01,4978
1967-10-01,4967
1967-11-01,5029
1967-12-01,5028
1968-01-01,5039
1968-02-01,5010
1968-03-01,5021
1968-04-01,5053
1968-05-01,5057
1968-06-01,5054
1968-07-01,5056
1968-08-01,5093
1968-09-01,5080
1968-10-01,5090
1968-11-01,5106
1968-12-01,5082
1969-01-01,5072
1969-02-01,5075
1969-03-01,5070
1969-04-01,5091
1969-05-01,5100
1969-06-01,5091
1969-07-01,5087
1969-08-01,5111
1969-09-01,5142
1969-10-01,5121
1969-11-01,5104
1969-12-01,5121
1970-01-01,5123
1970-02-01,5133
1970-03-01,5138
1970-04-01,5156
1970-05-01,5145
1970-06-01,5154
1970-07-01,5171
1970-08-01,5158
1970-09-01,5187
1970-10-01,5167
1970-11-01,5148
1970-12-01,5173
1971-01-01,5172
1971-02-01,5172
1971-03-01,5218
1971-04-01,5194
1971-05-01,5188
1971-06-01,5191
1971-07-01,5188
1971-08-01,5191
1971-09-01,5163
1971-10-01,5164
1971-11-01,5202
1971-12-01,5195
1972-01-01,5205
1972-02-01,5189
1972-03-01,5172
1972-04-01,5175
1972-05-01,5187
1972-06-01,5173
1972-07-01,5226
1972-08-01,5245
1972-09-01,5242
1972-10-01,5253
1972-11-01,5250
1972-12-01,5300
1973-01-01,5337
1973-02-01,5347
1973-03-01,5308
1973-04-01,5294
1973-05-01,5281
1973-06-01,5322
1973-07-01,5326
1973-08-01,5303
1973-09-01,5330
1973-10-01,5388
1973-11-01,5373
1973-12-01,5300
1974-01-01,5302
1974-02-01,5325
1974-03-01,5327
1974-04-01,5338
1974-05-01,5323
1974-06-01,5312
1974-07-01,5276
1974-08-01,5302
1974-09-01,5306
1974-10-01,5309
1974-11-01,5303
1974-12-01,5296
1975-01-01,5284
1975-02-01,5290
