Date,完全失業者 男女計 季節調整値
1953-01-01,79
1953-02-01,77
1953-03-01,73
1953-04-01,81
1953-05-01,80
1953-06-01,76
1953-07-01,72
1953-08-01,70
1953-09-01,69
1953-10-01,69
1953-11-01,72
1953-12-01,65
1954-01-01,70
1954-02-01,72
1954-03-01,76
1954-04-01,79
1954-05-01,90
1954-06-01,91
1954-07-01,99
1954-08-01,107
1954-09-01,103
1954-10-01,108
1954-11-01,107
1954-12-01,109
1955-01-01,104
1955-02-01,103
1955-03-01,97
1955-04-01,103
1955-05-01,102
1955-06-01,109
1955-07-01,110
1955-08-01,107
1955-09-01,109
1955-10-01,114
1955-11-01,103
1955-12-01,104
1956-01-01,107
1956-02-01,108
1956-03-01,113
1956-04-01,103
1956-05-01,98
1956-06-01,92
1956-07-01,90
1956-08-01,88
1956-09-01,92
1956-10-01,86
1956-11-01,95
1956-12-01,100
1957-01-01,90
1957-02-01,87
1957-03-01,86
1957-04-01,88
1957-05-01,80
1957-06-01,77
1957-07-01,78
1957-08-01,80
1957-09-01,86
1957-10-01,89
1957-11-01,82
1957-12-01,79
1958-01-01,81
1958-02-01,83
1958-03-01,89
1958-04-01,86
1958-05-01,89
1958-06-01,96
1958-07-01,92
1958-08-01,94
1958-09-01,94
1958-10-01,94
1958-11-01,92
1958-12-01,92
1959-01-01,105
1959-02-01,107
1959-03-01,104
1959-04-01,96
1959-05-01,99
1959-06-01,103
1959-07-01,100
1959-08-01,101
1959-09-01,86
1959-10-01,86
1959-11-01,90
1959-12-01,88
1960-01-01,82
1960-02-01,74
1960-03-01,76
1960-04-01,74
1960-05-01,76
1960-06-01,72
1960-07-01,70
1960-08-01,71
1960-09-01,72
1960-10-01,65
1960-11-01,67
1960-12-01,67
1961-01-01,66
1961-02-01,69
1961-03-01,60
1961-04-01,65
1961-05-01,67
1961-06-01,66
1961-07-01,67
1961-08-01,64
1961-09-01,62
1961-10-01,66
1961-11-01,67
1961-12-01,62
1962-01-01,60
1962-02-01,58
1962-03-01,60
1962-04-01,62
1962-05-01,54
1962-06-01,60
1962-07-01,61
1962-08-01,55
1962-09-01,57
1962-10-01,62
1962-11-01,58
1962-12-01,60
1963-01-01,61
1963-02-01,63
1963-03-01,66
1963-04-01,57
1963-05-01,62
1963-06-01,51
1963-07-01,53
1963-08-01,56
1963-09-01,60
1963-10-01,54
1963-11-01,57
1963-12-01,59
1964-01-01,56
1964-02-01,59
1964-03-01,55
1964-04-01,55
1964-05-01,53
1964-06-01,54
1964-07-01,56
1964-08-01,57
1964-09-01,52
1964-10-01,53
1964-11-01,53
1964-12-01,54
1965-01-01,53
1965-02-01,55
1965-03-01,49
1965-04-01,59
1965-05-01,57
1965-06-01,63
1965-07-01,62
1965-08-01,59
1965-09-01,62
1965-10-01,62
1965-11-01,61
1965-12-01,64
1966-01-01,67
1966-02-01,62
1966-03-01,66
1966-04-01,61
1966-05-01,69
1966-06-01,62
1966-07-01,58
1966-08-01,63
1966-09-01,67
1966-10-01,65
1966-11-01,64
1966-12-01,61
1967-01-01,61
1967-02-01,56
1967-03-01,78
1967-04-01,62
1967-05-01,59
1967-06-01,64
1967-07-01,60
1967-08-01,60
1967-09-01,56
1967-10-01,60
1967-11-01,67
1967-12-01,64
1968-01-01,64
1968-02-01,65
1968-03-01,58
1968-04-01,61
1968-05-01,58
1968-06-01,56
1968-07-01,63
1968-08-01,62
1968-09-01,58
1968-10-01,55
1968-11-01,53
1968-12-01,55
1969-01-01,57
1969-02-01,59
1969-03-01,55
1969-04-01,57
1969-05-01,62
1969-06-01,65
1969-07-01,61
1969-08-01,56
1969-09-01,57
1969-10-01,55
1969-11-01,53
1969-12-01,55
1970-01-01,56
1970-02-01,56
1970-03-01,51
1970-04-01,60
1970-05-01,56
1970-06-01,55
1970-07-01,60
1970-08-01,61
1970-09-01,66
1970-10-01,69
1970-11-01,65
1970-12-01,61
1971-01-01,58
1971-02-01,61
1971-03-01,63
1971-04-01,63
1971-05-01,63
1971-06-01,63
1971-07-01,64
1971-08-01,67
1971-09-01,60
1971-10-01,66
1971-11-01,70
1971-12-01,72
1972-01-01,75
1972-02-01,71
1972-03-01,74
1972-04-01,72
1972-05-01,72
1972-06-01,70
1972-07-01,73
1972-08-01,73
1972-09-01,81
1972-10-01,72
1972-11-01,73
1972-12-01,73
1973-01-01,71
1973-02-01,66
1973-03-01,65
1973-04-01,70
1973-05-01,72
1973-06-01,74
1973-07-01,70
1973-08-01,64
1973-09-01,67
1973-10-01,60
1973-11-01,64
1973-12-01,60
1974-01-01,66
1974-02-01,71
1974-03-01,73
1974-04-01,67
1974-05-01,67
1974-06-01,67
1974-07-01,68
1974-08-01,79
1974-09-01,73
1974-10-01,83
1974-11-01,80
1974-12-01,91
1975-01-01,89
1975-02-01,93
1975-03-01,93
1975-04-01,96
1975-05-01,95
1975-06-01,98
1975-07-01,98
1975-08-01,99
1975-09-01,105
1975-10-01,112
1975-11-01,110
1975-12-01,114
1976-01-01,113
1976-02-01,109
1976-03-01,105
1976-04-01,111
1976-05-01,110
1976-06-01,108
1976-07-01,109
1976-08-01,107
1976-09-01,106
1976-10-01,107
1976-11-01,106
1976-12-01,98
1977-01-01,104
1977-02-01,108
1977-03-01,108
1977-04-01,104
1977-05-01,112
1977-06-01,115
1977-07-01,113
1977-08-01,109
1977-09-01,110
1977-10-01,106
1977-11-01,111
1977-12-01,117
1978-01-01,118
1978-02-01,124
1978-03-01,122
1978-04-01,119
1978-05-01,125
1978-06-01,129
1978-07-01,121
1978-08-01,125
1978-09-01,131
1978-10-01,124
1978-11-01,122
1978-12-01,122
1979-01-01,121
1979-02-01,113
1979-03-01,118
1979-04-01,119
1979-05-01,112
1979-06-01,114
1979-07-01,121
1979-08-01,121
1979-09-01,113
1979-10-01,117
1979-11-01,116
1979-12-01,113
1980-01-01,109
1980-02-01,105
1980-03-01,109
1980-04-01,112
1980-05-01,110
1980-06-01,108
1980-07-01,116
1980-08-01,118
1980-09-01,114
1980-10-01,118
1980-11-01,127
1980-12-01,125
1981-01-01,119
1981-02-01,128
1981-03-01,126
1981-04-01,128
1981-05-01,132
1981-06-01,129
1981-07-01,126
1981-08-01,119
1981-09-01,125
1981-10-01,127
1981-11-01,125
1981-12-01,127
1982-01-01,127
1982-02-01,128
1982-03-01,131
1982-04-01,133
1982-05-01,134
1982-06-01,140
1982-07-01,138
1982-08-01,135
1982-09-01,139
1982-10-01,144
1982-11-01,141
1982-12-01,146
1983-01-01,158
1983-02-01,156
1983-03-01,153
1983-04-01,159
1983-05-01,158
1983-06-01,150
1983-07-01,151
1983-08-01,164
1983-09-01,161
1983-10-01,153
1983-11-01,155
1983-12-01,155
1984-01-01,161
1984-02-01,161
1984-03-01,159
1984-04-01,157
1984-05-01,159
1984-06-01,165
1984-07-01,165
1984-08-01,162
1984-09-01,162
1984-10-01,164
1984-11-01,160
1984-12-01,154
1985-01-01,148
1985-02-01,156
1985-03-01,156
1985-04-01,147
1985-05-01,152
1985-06-01,156
1985-07-01,152
1985-08-01,151
1985-09-01,160
1985-10-01,164
1985-11-01,168
1985-12-01,167
1986-01-01,162
1986-02-01,156
1986-03-01,164
1986-04-01,171
1986-05-01,160
