Date,雇用者 男女計 季節調整値
1953-01-01,1715
1953-02-01,1687
1953-03-01,1676
1953-04-01,1647
1953-05-01,1648
1953-06-01,1632
1953-07-01,1634
1953-08-01,1641
1953-09-01,1663
1953-10-01,1681
1953-11-01,1648
1953-12-01,1683
1954-01-01,1674
1954-02-01,1704
1954-03-01,1708
1954-04-01,1712
1954-05-01,1712
1954-06-01,1714
1954-07-01,1707
1954-08-01,1711
1954-09-01,1701
1954-10-01,1709
1954-11-01,1731
1954-12-01,1716
1955-01-01,1700
1955-02-01,1709
1955-03-01,1729
1955-04-01,1752
1955-05-01,1748
1955-06-01,1766
1955-07-01,1784
1955-08-01,1799
1955-09-01,1824
1955-10-01,1837
1955-11-01,1861
1955-12-01,1847
1956-01-01,1861
1956-02-01,1865
1956-03-01,1860
1956-04-01,1887
1956-05-01,1904
1956-06-01,1935
1956-07-01,1938
1956-08-01,1939
1956-09-01,1926
1956-10-01,1935
1956-11-01,1952
1956-12-01,1976
1957-01-01,2008
1957-02-01,2027
1957-03-01,2058
1957-04-01,2021
1957-05-01,2034
1957-06-01,2017
1957-07-01,2039
1957-08-01,2061
1957-09-01,2079
1957-10-01,2081
1957-11-01,2091
1957-12-01,2110
1958-01-01,2117
1958-02-01,2108
1958-03-01,2105
1958-04-01,2141
1958-05-01,2149
1958-06-01,2140
1958-07-01,2129
1958-08-01,2121
1958-09-01,2161
1958-10-01,2160
1958-11-01,2168
1958-12-01,2206
1959-01-01,2219
1959-02-01,2202
1959-03-01,2203
1959-04-01,2236
1959-05-01,2234
1959-06-01,2255
1959-07-01,2258
1959-08-01,2287
1959-09-01,2262
1959-10-01,2292
1959-11-01,2282
1959-12-01,2261
1960-01-01,2268
1960-02-01,2321
1960-03-01,2334
1960-04-01,2328
1960-05-01,2359
1960-06-01,2390
1960-07-01,2413
1960-08-01,2400
1960-09-01,2414
1960-10-01,2379
1960-11-01,2404
1960-12-01,2424
1961-01-01,2444
1961-02-01,2446
1961-03-01,2456
1961-04-01,2433
1961-05-01,2434
1961-06-01,2424
1961-07-01,2465
1961-08-01,2477
1961-09-01,2507
1961-10-01,2538
1961-11-01,2542
1961-12-01,2546
1962-01-01,2564
1962-02-01,2573
1962-03-01,2569
1962-04-01,2586
1962-05-01,2584
1962-06-01,2577
1962-07-01,2574
1962-08-01,2606
1962-09-01,2587
1962-10-01,2607
1962-11-01,2635
1962-12-01,2627
1963-01-01,2603
1963-02-01,2617
1963-03-01,2635
1963-04-01,2648
1963-05-01,2657
1963-06-01,2677
1963-07-01,2686
1963-08-01,2686
1963-09-01,2704
1963-10-01,2712
1963-11-01,2702
1963-12-01,2721
1964-01-01,2721
1964-02-01,2715
1964-03-01,2731
1964-04-01,2743
1964-05-01,2751
1964-06-01,2776
1964-07-01,2788
1964-08-01,2790
1964-09-01,2797
1964-10-01,2783
1964-11-01,2776
1964-12-01,2776
1965-01-01,2807
1965-02-01,2824
1965-03-01,2840
1965-04-01,2861
1965-05-01,2868
1965-06-01,2879
1965-07-01,2872
1965-08-01,2884
1965-09-01,2912
1965-10-01,2910
1965-11-01,2916
1965-12-01,2945
1966-01-01,2962
1966-02-01,2977
1966-03-01,2976
1966-04-01,2964
1966-05-01,2977
1966-06-01,3007
1966-07-01,3003
1966-08-01,3000
1966-09-01,2996
1966-10-01,3024
1966-11-01,3017
1966-12-01,3034
1967-01-01,3034
1967-02-01,3041
1967-03-01,3048
1967-04-01,3042
1967-05-01,3074
1967-06-01,3073
1967-07-01,3088
1967-08-01,3076
1967-09-01,3061
1967-10-01,3084
1967-11-01,3132
1967-12-01,3116
1968-01-01,3119
1968-02-01,3105
1968-03-01,3107
1968-04-01,3164
1968-05-01,3157
1968-06-01,3143
1968-07-01,3151
1968-08-01,3165
1968-09-01,3166
1968-10-01,3183
1968-11-01,3165
1968-12-01,3157
1969-01-01,3162
1969-02-01,3168
1969-03-01,3165
1969-04-01,3185
1969-05-01,3211
1969-06-01,3191
1969-07-01,3194
1969-08-01,3222
1969-09-01,3225
1969-10-01,3212
1969-11-01,3219
1969-12-01,3234
1970-01-01,3249
1970-02-01,3271
1970-03-01,3295
1970-04-01,3271
1970-05-01,3270
1970-06-01,3277
1970-07-01,3279
1970-08-01,3306
1970-09-01,3339
1970-10-01,3325
1970-11-01,3383
1970-12-01,3408
1971-01-01,3398
1971-02-01,3394
1971-03-01,3421
1971-04-01,3403
1971-05-01,3367
1971-06-01,3387
1971-07-01,3401
1971-08-01,3412
1971-09-01,3442
1971-10-01,3447
1971-11-01,3428
1971-12-01,3440
1972-01-01,3469
1972-02-01,3465
1972-03-01,3425
1972-04-01,3435
1972-05-01,3437
1972-06-01,3462
1972-07-01,3512
1972-08-01,3483
1972-09-01,3469
1972-10-01,3512
1972-11-01,3504
1972-12-01,3529
1973-01-01,3564
1973-02-01,3569
1973-03-01,3574
1973-04-01,3586
1973-05-01,3618
1973-06-01,3645
1973-07-01,3634
1973-08-01,3638
1973-09-01,3639
1973-10-01,3643
1973-11-01,3641
1973-12-01,3617
1974-01-01,3593
1974-02-01,3612
1974-03-01,3633
1974-04-01,3649
1974-05-01,3680
1974-06-01,3660
1974-07-01,3616
1974-08-01,3631
1974-09-01,3650
1974-10-01,3657
1974-11-01,3648
1974-12-01,3618
1975-01-01,3622
1975-02-01,3621
1975-03-01,3623
1975-04-01,3614
1975-05-01,3625
1975-06-01,3646
1975-07-01,3666
1975-08-01,3656
1975-09-01,3653
1975-10-01,3662
1975-11-01,3676
1975-12-01,3702
1976-01-01,3690
1976-02-01,3704
1976-03-01,3731
1976-04-01,3711
1976-05-01,3693
1976-06-01,3700
1976-07-01,3714
1976-08-01,3731
1976-09-01,3723
1976-10-01,3688
1976-11-01,3720
1976-12-01,3738
1977-01-01,3752
1977-02-01,3767
1977-03-01,3777
1977-04-01,3799
1977-05-01,3778
1977-06-01,3739
1977-07-01,3747
1977-08-01,3758
1977-09-01,3767
1977-10-01,3770
1977-11-01,3776
1977-12-01,3792
1978-01-01,3785
1978-02-01,3780
1978-03-01,3782
1978-04-01,3805
1978-05-01,3798
1978-06-01,3787
1978-07-01,3784
1978-08-01,3798
1978-09-01,3802
1978-10-01,3820
1978-11-01,3822
1978-12-01,3825
1979-01-01,3831
1979-02-01,3843
1979-03-01,3832
1979-04-01,3818
1979-05-01,3847
1979-06-01,3885
1979-07-01,3907
1979-08-01,3911
1979-09-01,3899
1979-10-01,3916
1979-11-01,3916
1979-12-01,3905
1980-01-01,3918
1980-02-01,3922
1980-03-01,3915
1980-04-01,3912
1980-05-01,3949
1980-06-01,3994
1980-07-01,3999
1980-08-01,3992
1980-09-01,4015
1980-10-01,4014
1980-11-01,4009
1980-12-01,4013
1981-01-01,4032
1981-02-01,4022
1981-03-01,4017
1981-04-01,4045
1981-05-01,4033
1981-06-01,4035
1981-07-01,4014
1981-08-01,4018
1981-09-01,4051
1981-10-01,4063
1981-11-01,4062
1981-12-01,4056
1982-01-01,4066
1982-02-01,4062
1982-03-01,4077
1982-04-01,4108
1982-05-01,4109
1982-06-01,4086
1982-07-01,4087
1982-08-01,4094
1982-09-01,4092
1982-10-01,4111
1982-11-01,4126
1982-12-01,4153
1983-01-01,4164
1983-02-01,4174
1983-03-01,4197
1983-04-01,4187
1983-05-01,4196
1983-06-01,4198
1983-07-01,4227
1983-08-01,4259
1983-09-01,4224
1983-10-01,4210
1983-11-01,4227
1983-12-01,4238
1984-01-01,4224
1984-02-01,4241
1984-03-01,4251
1984-04-01,4239
1984-05-01,4256
1984-06-01,4274
1984-07-01,4266
1984-08-01,4272
1984-09-01,4282
1984-10-01,4282
1984-11-01,4291
1984-12-01,4299
1985-01-01,4302
1985-02-01,4306
1985-03-01,4306
1985-04-01,4307
1985-05-01,4302
1985-06-01,4291
1985-07-01,4314
1985-08-01,4286
1985-09-01,4320
1985-10-01,4338
1985-11-01,4345
1985-12-01,4330
1986-01-01,4362
1986-02-01,4375
1986-03-01,4370
1986-04-01,4383
1986-05-01,4357
1986-06-01,4368
1986-07-01,4387
1986-08-01,4389
1986-09-01,4398
1986-10-01,4400
1986-11-01,4378
1986-12-01,4377
1987-01-01,4381
1987-02-01,4381
1987-03-01,4398
1987-04-01,4407
1987-05-01,4412
1987-06-01,4426
1987-07-01,4417
1987-08-01,4439
1987-09-01,4443
1987-10-01,4460
1987-11-01,4476
1987-12-01,4490
1988-01-01,4497
1988-02-01,4485
1988-03-01,4485
1988-04-01,4499
1988-05-01,4524
1988-06-01,4534
1988-07-01,4554
1988-08-01,4574
1988-09-01,4559
1988-10-01,4554
1988-11-01,4580
1988-12-01,4607
1989-01-01,4605
1989-02-01,4636
1989-03-01,4645
1989-04-01,4658
1989-05-01,4672
1989-06-01,4682
1989-07-01,4692
1989-08-01,4701
1989-09-01,4689
1989-10-01,4698
1989-11-01,4721
1989-12-01,4739
1990-01-01,4747
1990-02-01,4754
1990-03-01,4779
1990-04-01,4805
1990-05-01,4844
1990-06-01,4832
1990-07-01,4807
1990-08-01,4819
1990-09-01,4900
1990-10-01,4918
1990-11-01,4904
1990-12-01,4909
1991-01-01,4942
1991-02-01,4946
1991-03-01,4966
1991-04-01,4972
1991-05-01,4978
1991-06-01,5019
1991-07-01,5021
1991-08-01,5019
1991-09-01,5023
1991-10-01,5034
1991-11-01,5046
1991-12-01,5062
1992-01-01,5068
1992-02-01,5098
1992-03-01,5092
1992-04-01,5080
1992-05-01,5098
1992-06-01,5097
1992-07-01,5129
1992-08-01,5141
1992-09-01,5123
1992-10-01,5155
1992-11-01,5183
1992-12-01,5164
1993-01-01,5156
1993-02-01,5184
