Date,営業利益(全産業)
1975-01-01,29505
1975-02-01,28439
1975-03-01,27373
1975-04-01,27841
1975-05-01,28308
1975-06-01,28776
1975-07-01,29435
1975-08-01,30095
1975-09-01,30754
1975-10-01,31416
1975-11-01,32078
1975-12-01,32740
1976-01-01,33617
1976-02-01,34494
1976-03-01,35371
1976-04-01,35816
1976-05-01,36261
1976-06-01,36706
1976-07-01,37705
1976-08-01,38703
1976-09-01,39702
1976-10-01,39639
1976-11-01,39576
1976-12-01,39513
1977-01-01,39194
1977-02-01,38876
1977-03-01,38557
1977-04-01,38411
1977-05-01,38265
1977-06-01,38119
1977-07-01,37878
1977-08-01,37637
1977-09-01,37396
1977-10-01,37635
1977-11-01,37874
1977-12-01,38113
1978-01-01,38771
1978-02-01,39428
1978-03-01,40086
1978-04-01,40302
1978-05-01,40517
1978-06-01,40733
1978-07-01,41230
1978-08-01,41727
1978-09-01,42224
1978-10-01,43964
1978-11-01,45703
1978-12-01,47443
1979-01-01,48001
1979-02-01,48558
1979-03-01,49116
1979-04-01,51638
1979-05-01,54160
1979-06-01,56682
1979-07-01,58058
1979-08-01,59434
1979-09-01,60810
1979-10-01,61393
1979-11-01,61976
1979-12-01,62559
1980-01-01,63677
1980-02-01,64794
1980-03-01,65912
1980-04-01,67411
1980-05-01,68910
1980-06-01,70409
1980-07-01,68863
1980-08-01,67318
1980-09-01,65772
1980-10-01,65125
1980-11-01,64478
1980-12-01,63831
1981-01-01,63150
1981-02-01,62468
1981-03-01,61787
1981-04-01,61298
1981-05-01,60810
1981-06-01,60321
1981-07-01,61351
1981-08-01,62382
1981-09-01,63412
1981-10-01,64388
1981-11-01,65364
1981-12-01,66340
1982-01-01,66011
1982-02-01,65683
1982-03-01,65354
1982-04-01,64186
1982-05-01,63019
1982-06-01,61851
1982-07-01,61417
1982-08-01,60982
1982-09-01,60548
1982-10-01,59901
1982-11-01,59253
1982-12-01,58606
1983-01-01,58647
1983-02-01,58687
1983-03-01,58728
1983-04-01,59581
1983-05-01,60433
1983-06-01,61286
1983-07-01,62395
1983-08-01,63504
1983-09-01,64613
1983-10-01,65755
1983-11-01,66896
1983-12-01,68038
1984-01-01,69272
1984-02-01,70505
1984-03-01,71739
1984-04-01,71287
1984-05-01,70836
1984-06-01,70384
1984-07-01,70773
1984-08-01,71162
1984-09-01,71551
1984-10-01,71758
1984-11-01,71966
1984-12-01,72173
1985-01-01,72897
1985-02-01,73622
1985-03-01,74346
1985-04-01,74069
1985-05-01,73791
1985-06-01,73514
1985-07-01,72875
1985-08-01,72235
1985-09-01,71596
1985-10-01,70685
1985-11-01,69773
1985-12-01,68862
1986-01-01,67839
1986-02-01,66816
1986-03-01,65793
1986-04-01,65955
1986-05-01,66116
1986-06-01,66278
1986-07-01,65754
1986-08-01,65229
1986-09-01,64705
1986-10-01,66452
1986-11-01,68198
1986-12-01,69945
1987-01-01,69466
1987-02-01,68987
1987-03-01,68508
1987-04-01,71440
1987-05-01,74372
1987-06-01,77304
1987-07-01,79268
1987-08-01,81233
1987-09-01,83197
1987-10-01,85337
1987-11-01,87477
1987-12-01,89617
1988-01-01,90878
1988-02-01,92138
1988-03-01,93399
1988-04-01,95667
1988-05-01,97935
1988-06-01,100203
1988-07-01,100863
1988-08-01,101523
1988-09-01,102183
1988-10-01,103259
1988-11-01,104334
1988-12-01,105410
1989-01-01,111031
