Date,有効求人倍率.季節調整値.パートタイム
1972-01-01,0.94
1972-02-01,0.98
1972-03-01,0.98
1972-04-01,1.07
1972-05-01,1.09
1972-06-01,1.2
1972-07-01,1.28
1972-08-01,1.38
1972-09-01,1.43
1972-10-01,1.53
1972-11-01,1.65
1972-12-01,1.76
1973-01-01,1.93
1973-02-01,2.03
1973-03-01,2.08
1973-04-01,2.17
1973-05-01,2.26
1973-06-01,2.29
1973-07-01,2.3
1973-08-01,2.19
1973-09-01,2.15
1973-10-01,2.19
1973-11-01,2.24
1973-12-01,2.17
1974-01-01,1.86
1974-02-01,1.66
1974-03-01,1.62
1974-04-01,1.54
1974-05-01,1.46
1974-06-01,1.33
1974-07-01,1.24
1974-08-01,1.11
1974-09-01,1.06
1974-10-01,1.01
1974-11-01,0.96
1974-12-01,0.9
1975-01-01,0.89
1975-02-01,0.89
1975-03-01,0.89
1975-04-01,1.01
1975-05-01,0.98
1975-06-01,0.99
1975-07-01,1
1975-08-01,1.14
1975-09-01,1.19
1975-10-01,1.2
1975-11-01,1.21
1975-12-01,1.23
1976-01-01,1.25
1976-02-01,1.24
1976-03-01,1.22
1976-04-01,1.29
1976-05-01,1.37
1976-06-01,1.41
1976-07-01,1.4
1976-08-01,1.31
1976-09-01,1.29
1976-10-01,1.24
1976-11-01,1.23
1976-12-01,1.24
1977-01-01,1.17
1977-02-01,1.13
1977-03-01,1.07
1977-04-01,1
1977-05-01,0.91
1977-06-01,0.89
1977-07-01,0.85
1977-08-01,0.88
1977-09-01,0.91
1977-10-01,0.92
1977-11-01,0.89
1977-12-01,0.86
1978-01-01,0.89
1978-02-01,0.94
1978-03-01,0.94
1978-04-01,0.94
1978-05-01,0.93
1978-06-01,0.96
1978-07-01,0.98
1978-08-01,1.01
1978-09-01,1.04
1978-10-01,1.04
1978-11-01,1.08
1978-12-01,1.12
1979-01-01,1.15
1979-02-01,1.17
1979-03-01,1.22
1979-04-01,1.29
1979-05-01,1.32
1979-06-01,1.38
1979-07-01,1.4
1979-08-01,1.44
1979-09-01,1.44
1979-10-01,1.5
1979-11-01,1.48
1979-12-01,1.45
1980-01-01,1.38
1980-02-01,1.42
1980-03-01,1.43
1980-04-01,1.39
1980-05-01,1.41
1980-06-01,1.45
1980-07-01,1.38
1980-08-01,1.29
1980-09-01,1.27
1980-10-01,1.26
1980-11-01,1.27
1980-12-01,1.24
1981-01-01,1.22
1981-02-01,1.23
1981-03-01,1.24
1981-04-01,1.2
1981-05-01,1.19
1981-06-01,1.17
1981-07-01,1.17
1981-08-01,1.18
1981-09-01,1.19
1981-10-01,1.19
1981-11-01,1.18
1981-12-01,1.18
1982-01-01,1.2
1982-02-01,1.23
1982-03-01,1.17
1982-04-01,1.22
1982-05-01,1.21
1982-06-01,1.22
1982-07-01,1.24
1982-08-01,1.24
1982-09-01,1.26
1982-10-01,1.25
1982-11-01,1.23
1982-12-01,1.25
1983-01-01,1.25
1983-02-01,1.25
1983-03-01,1.28
1983-04-01,1.33
1983-05-01,1.33
1983-06-01,1.37
1983-07-01,1.39
1983-08-01,1.45
1983-09-01,1.48
1983-10-01,1.52
1983-11-01,1.54
1983-12-01,1.58
1984-01-01,1.61
1984-02-01,1.63
1984-03-01,1.6
1984-04-01,1.52
1984-05-01,1.5
1984-06-01,1.47
1984-07-01,1.54
1984-08-01,1.52
1984-09-01,1.48
1984-10-01,1.48
1984-11-01,1.48
1984-12-01,1.5
1985-01-01,1.52
1985-02-01,1.55
1985-03-01,1.57
1985-04-01,1.57
1985-05-01,1.54
1985-06-01,1.52
1985-07-01,1.47
1985-08-01,1.42
1985-09-01,1.47
1985-10-01,1.44
1985-11-01,1.44
1985-12-01,1.43
1986-01-01,1.46
1986-02-01,1.41
1986-03-01,1.38
1986-04-01,1.39
1986-05-01,1.4
1986-06-01,1.41
1986-07-01,1.43
1986-08-01,1.41
1986-09-01,1.46
1986-10-01,1.48
1986-11-01,1.5
1986-12-01,1.51
1987-01-01,1.54
1987-02-01,1.54
1987-03-01,1.57
1987-04-01,1.6
1987-05-01,1.66
1987-06-01,1.71
1987-07-01,1.81
1987-08-01,1.94
1987-09-01,2.02
1987-10-01,2.11
1987-11-01,2.2
1987-12-01,2.32
1988-01-01,2.43
1988-02-01,2.5
1988-03-01,2.68
1988-04-01,2.86
1988-05-01,2.99
1988-06-01,3.12
1988-07-01,3.19
1988-08-01,3.26
1988-09-01,3.32
1988-10-01,3.44
1988-11-01,3.57
1988-12-01,3.67
1989-01-01,3.71
1989-02-01,3.69
1989-03-01,3.77
1989-04-01,3.9
1989-05-01,3.99
1989-06-01,4.03
1989-07-01,4.12
1989-08-01,4.09
1989-09-01,4.01
1989-10-01,3.99
1989-11-01,3.93
1989-12-01,3.91
1990-01-01,3.87
1990-02-01,3.77
1990-03-01,3.64
1990-04-01,3.48
1990-05-01,3.34
1990-06-01,3.3
1990-07-01,3.24
1990-08-01,3.16
1990-09-01,3.03
1990-10-01,3.01
1990-11-01,2.97
1990-12-01,2.85
1991-01-01,2.85
1991-02-01,2.84
1991-03-01,2.86
1991-04-01,2.84
1991-05-01,2.82
1991-06-01,2.75
1991-07-01,2.61
1991-08-01,2.5
1991-09-01,2.39
1991-10-01,2.38
1991-11-01,2.31
1991-12-01,2.22
1992-01-01,2.1
1992-02-01,2.05
1992-03-01,1.99
1992-04-01,1.91
1992-05-01,1.82
1992-06-01,1.78
1992-07-01,1.72
1992-08-01,1.67
1992-09-01,1.62
1992-10-01,1.57
1992-11-01,1.51
1992-12-01,1.45
1993-01-01,1.42
1993-02-01,1.39
1993-03-01,1.3
1993-04-01,1.26
1993-05-01,1.21
1993-06-01,1.17
1993-07-01,1.15
1993-08-01,1.13
1993-09-01,1.11
1993-10-01,1.08
1993-11-01,1.06
1993-12-01,1.04
1994-01-01,1.01
1994-02-01,1.01
1994-03-01,1.02
1994-04-01,1.04
1994-05-01,1.05
1994-06-01,1.06
1994-07-01,1.07
1994-08-01,1.1
1994-09-01,1.13
1994-10-01,1.11
1994-11-01,1.09
1994-12-01,1.1
1995-01-01,1.13
1995-02-01,1.15
1995-03-01,1.16
1995-04-01,1.15
1995-05-01,1.12
1995-06-01,1.11
1995-07-01,1.1
1995-08-01,1.12
1995-09-01,1.12
1995-10-01,1.14
1995-11-01,1.15
1995-12-01,1.18
1996-01-01,1.2
1996-02-01,1.2
1996-03-01,1.24
1996-04-01,1.26
1996-05-01,1.28
1996-06-01,1.3
1996-07-01,1.33
1996-08-01,1.33
1996-09-01,1.35
1996-10-01,1.37
1996-11-01,1.4
1996-12-01,1.4
1997-01-01,1.41
1997-02-01,1.41
1997-03-01,1.44
1997-04-01,1.45
1997-05-01,1.48
1997-06-01,1.49
1997-07-01,1.49
1997-08-01,1.46
1997-09-01,1.44
1997-10-01,1.43
1997-11-01,1.4
1997-12-01,1.38
1998-01-01,1.31
1998-02-01,1.27
1998-03-01,1.22
1998-04-01,1.21
1998-05-01,1.18
1998-06-01,1.16
1998-07-01,1.12
1998-08-01,1.13
1998-09-01,1.12
1998-10-01,1.1
1998-11-01,1.09
1998-12-01,1.09
1999-01-01,1.1
1999-02-01,1.11
1999-03-01,1.13
1999-04-01,1.09
1999-05-01,1.08
1999-06-01,1.07
1999-07-01,1.08
1999-08-01,1.1
1999-09-01,1.12
1999-10-01,1.14
1999-11-01,1.15
1999-12-01,1.17
2000-01-01,1.21
2000-02-01,1.25
2000-03-01,1.29
2000-04-01,1.32
2000-05-01,1.35
2000-06-01,1.39
2000-07-01,1.43
2000-08-01,1.46
2000-09-01,1.49
2000-10-01,1.53
2000-11-01,1.57
2000-12-01,1.59
2001-01-01,1.56
2001-02-01,1.54
2001-03-01,1.5
2001-04-01,1.49
2001-05-01,1.48
2001-06-01,1.47
2001-07-01,1.44
2001-08-01,1.41
2001-09-01,1.37
2001-10-01,1.3
2001-11-01,1.28
2001-12-01,1.25
2002-01-01,1.24
2002-02-01,1.25
2002-03-01,1.28
2002-04-01,1.29
2002-05-01,1.31
2002-06-01,1.33
2002-07-01,1.36
2002-08-01,1.37
2002-09-01,1.37
2002-10-01,1.36
2002-11-01,1.36
2002-12-01,1.36
2003-01-01,1.38
2003-02-01,1.39
2003-03-01,1.39
2003-04-01,1.39
2003-05-01,1.4
2003-06-01,1.4
2003-07-01,1.43
2003-08-01,1.48
2003-09-01,1.53
2003-10-01,1.58
2003-11-01,1.61
2003-12-01,1.64
2004-01-01,1.63
2004-02-01,1.61
2004-03-01,1.6
2004-04-01,1.58
2004-05-01,1.57
2004-06-01,1.52
2004-07-01,1.46
2004-08-01,1.39
2004-09-01,1.34
2004-10-01,1.36
2004-11-01,1.37
2004-12-01,1.34
2005-01-01,1.31
2005-02-01,1.31
2005-03-01,1.34
2005-04-01,1.33
2005-05-01,1.33
2005-06-01,1.34
2005-07-01,1.36
2005-08-01,1.38
2005-09-01,1.37
2005-10-01,1.4
2005-11-01,1.41
2005-12-01,1.43
2006-01-01,1.45
2006-02-01,1.45
2006-03-01,1.45
2006-04-01,1.44
2006-05-01,1.45
2006-06-01,1.46
2006-07-01,1.47
2006-08-01,1.46
2006-09-01,1.46
2006-10-01,1.46
2006-11-01,1.46
2006-12-01,1.47
2007-01-01,1.44
2007-02-01,1.43
2007-03-01,1.44
2007-04-01,1.47
2007-05-01,1.47
2007-06-01,1.47
2007-07-01,1.45
2007-08-01,1.44
