Date,対個人サービス業（調査９業種）総合
2005-01-01,4.26
2005-02-01,0.41
2005-03-01,3.48
2005-04-01,1.13
2005-05-01,2.35
2005-06-01,0.1
2005-07-01,5.03
2005-08-01,3.61
2005-09-01,2.64
2005-10-01,3.89
2005-11-01,0.41
2005-12-01,0.93
2006-01-01,5.11
2006-02-01,11.28
2006-03-01,-1.54
2006-04-01,3.14
2006-05-01,0.7
2006-06-01,2.54
2006-07-01,1.5
2006-08-01,1.1
2006-09-01,-0.86
2006-10-01,-0.69
2006-11-01,6.29
2006-12-01,3.7
2007-01-01,-2.04
2007-02-01,-6.85
2007-03-01,-0.29
2007-04-01,-5.4
2007-05-01,-3.97
2007-06-01,-4.65
2007-07-01,-6.88
2007-08-01,-7.49
2007-09-01,-11.05
2007-10-01,-9.03
2007-11-01,-11.54
2007-12-01,-8.73
2008-01-01,-8.74
2008-02-01,-9.61
2008-03-01,-10.87
2008-04-01,-5.08
2008-05-01,-5.99
2008-06-01,-4.67
2008-07-01,-2.43
2008-08-01,-1.7
2008-09-01,-0.65
2008-10-01,1.09
2008-11-01,0.99
2008-12-01,0
2009-01-01,0.22
2009-02-01,-1.3
2009-03-01,-0.77
2009-04-01,-1.2
2009-05-01,-1.21
2009-06-01,-1.2
2009-07-01,-2.92
2009-08-01,-2.93
2009-09-01,-2.83
2009-10-01,-3.34
2009-11-01,-3.26
2009-12-01,-2.61
2010-01-01,-2.71
2010-02-01,-4.29
2010-03-01,-3.21
2010-04-01,-3.21
2010-05-01,-2.34
2010-06-01,-4.07
2010-07-01,-1.45
2010-08-01,-2.12
2010-09-01,-1.79
2010-10-01,-2.34
2010-11-01,-0.9
2010-12-01,-1.12
2011-01-01,-2.34
2011-02-01,1.72
2011-03-01,-11.33
2011-04-01,-6.17
2011-05-01,-3.64
2011-06-01,-1.15
2011-07-01,-0.9
2011-08-01,1.48
2011-09-01,0.91
2011-10-01,2.74
2011-11-01,1.7
2011-12-01,1.58
2012-01-01,2.17
2012-02-01,1.47
2012-03-01,16.13
2012-04-01,9.26
2012-05-01,6.15
2012-06-01,4.3
2012-07-01,2.51
2012-08-01,1.12
2012-09-01,1.69
2012-10-01,0.22
2012-11-01,0
2012-12-01,-0.67
2013-01-01,0.89
2013-02-01,0.11
2013-03-01,1.11
2013-04-01,0.56
2013-05-01,0.33
2013-06-01,0.89
2013-07-01,1.56
2013-08-01,2.22
2013-09-01,0.78
2013-10-01,-0.78
2013-11-01,1.34
2013-12-01,1.68
2014-01-01,0.67
2014-02-01,-3.11
2014-03-01,1.1
2014-04-01,-0.11
2014-05-01,-0.55
2014-06-01,-1.99
2014-07-01,-2.08
2014-08-01,-2.17
2014-09-01,-0.77
2014-10-01,0
2014-11-01,-1.43
2014-12-01,-2.31
2015-01-01,-2.42
2015-02-01,3.33
2015-03-01,-0.87
2015-04-01,0.33
2015-05-01,-0.33
2015-06-01,-0.45
2015-07-01,-0.11
2015-08-01,-2.44
