Date,対個人サービス業（調査９業種）総合 ゴルフ練習場
2005-01-01,-4.79
2005-02-01,-11.95
2005-03-01,-0.91
2005-04-01,-5.48
2005-05-01,4.8
2005-06-01,1.33
2005-07-01,3.28
2005-08-01,-0.3
2005-09-01,1.72
2005-10-01,7.35
2005-11-01,1.29
2005-12-01,-11.1
2006-01-01,-4.23
2006-02-01,-0.21
2006-03-01,1.53
2006-04-01,2.44
2006-05-01,-4.87
2006-06-01,1.01
2006-07-01,0.99
2006-08-01,1.5
2006-09-01,2.09
2006-10-01,-1.71
2006-11-01,-0.98
2006-12-01,4.56
2007-01-01,12.93
2007-02-01,11.84
2007-03-01,7.35
2007-04-01,0.7
2007-05-01,3.61
2007-06-01,6.59
2007-07-01,4.12
2007-08-01,-0.1
2007-09-01,2.05
2007-10-01,-1.06
2007-11-01,5.15
2007-12-01,7.06
2008-01-01,2.7
2008-02-01,-3.34
2008-03-01,3.56
2008-04-01,5.82
2008-05-01,3.78
2008-06-01,-0.37
2008-07-01,-3.86
2008-08-01,4.55
2008-09-01,-0.57
2008-10-01,1.76
2008-11-01,-2.35
2008-12-01,4.17
2009-01-01,-3.45
2009-02-01,6.15
2009-03-01,-6.16
2009-04-01,-2.14
2009-05-01,-2.61
2009-06-01,-1.6
2009-07-01,3.53
2009-08-01,3.69
2009-09-01,5.39
2009-10-01,3.55
2009-11-01,-1.16
2009-12-01,-2.61
2010-01-01,-3.19
2010-02-01,-7.6
2010-03-01,-3.47
2010-04-01,-3.52
2010-05-01,-5.08
2010-06-01,-9.26
2010-07-01,-10.04
2010-08-01,-14.59
2010-09-01,-14.25
2010-10-01,-10.76
2010-11-01,-5.66
2010-12-01,-7.84
2011-01-01,-13.58
2011-02-01,-7.64
2011-03-01,-20.2
2011-04-01,-15.99
2011-05-01,-10
2011-06-01,-3.05
2011-07-01,-2.95
2011-08-01,-0.32
2011-09-01,-4.69
2011-10-01,-6.13
2011-11-01,-6.83
2011-12-01,-7.68
2012-01-01,0.11
2012-02-01,-6.04
2012-03-01,17.04
2012-04-01,3.64
2012-05-01,-0.79
2012-06-01,-2.71
2012-07-01,-3.25
2012-08-01,-5.14
2012-09-01,-0.89
2012-10-01,-3.32
2012-11-01,-3
2012-12-01,-6.29
2013-01-01,-3.03
2013-02-01,-1.24
2013-03-01,-2.03
2013-04-01,-0.57
2013-05-01,-1.92
2013-06-01,-2.79
2013-07-01,-4.71
2013-08-01,-3.95
2013-09-01,-3.04
2013-10-01,-3.09
2013-11-01,-5.49
2013-12-01,3.84
2014-01-01,-0.35
2014-02-01,-17.03
2014-03-01,-5.68
2014-04-01,-1.82
2014-05-01,-3.11
2014-06-01,-3.56
2014-07-01,1.65
2014-08-01,1.65
2014-09-01,3.6
2014-10-01,0.12
2014-11-01,2.91
2014-12-01,-6.93
2015-01-01,-3.13
2015-02-01,18.6
2015-03-01,0.12
2015-04-01,-0.12
2015-05-01,-1.31
2015-06-01,-2.26
2015-07-01,-3.59
2015-08-01,-4.16
