Date,対個人サービス業（調査９業種）総合 外国語会話教室
2005-01-01,-5.75
2005-02-01,-12.62
2005-03-01,-2.92
2005-04-01,-8.06
2005-05-01,-14.9
2005-06-01,-20.59
2005-07-01,0.31
2005-08-01,-6.55
2005-09-01,-1.95
2005-10-01,-10.71
2005-11-01,-10.1
2005-12-01,-4.2
2006-01-01,10.52
2006-02-01,50.15
2006-03-01,-18.7
2006-04-01,-2.79
2006-05-01,-8.75
2006-06-01,-3.95
2006-07-01,-6.82
2006-08-01,-2.94
2006-09-01,-5.61
2006-10-01,-6.57
2006-11-01,36.36
2006-12-01,11.32
2007-01-01,-24.04
2007-02-01,-37.17
2007-03-01,-2.57
2007-04-01,-35.04
2007-05-01,-24.25
2007-06-01,-19.56
2007-07-01,-22.28
2007-08-01,-28.97
2007-09-01,-41.19
2007-10-01,-28.91
2007-11-01,-38.63
2007-12-01,-37.34
2008-01-01,-28.97
2008-02-01,-35.78
2008-03-01,-44.57
2008-04-01,-5.05
2008-05-01,-11.66
2008-06-01,-13.26
2008-07-01,-10.98
2008-08-01,-9.43
2008-09-01,-7.98
2008-10-01,-1.88
2008-11-01,-3.99
2008-12-01,0.83
2009-01-01,-0.31
2009-02-01,-7.25
2009-03-01,-10.46
2009-04-01,-5.81
2009-05-01,-9.98
2009-06-01,-8.28
2009-07-01,-10.74
2009-08-01,-10.89
2009-09-01,-7.96
2009-10-01,-11.2
2009-11-01,-7.65
2009-12-01,-9.52
2010-01-01,-7.42
2010-02-01,-7.12
2010-03-01,-1.06
2010-04-01,-7.76
2010-05-01,-5.19
2010-06-01,-11.63
2010-07-01,-7.9
2010-08-01,-6.02
2010-09-01,-1.73
2010-10-01,-6.49
2010-11-01,-8.65
2010-12-01,-6.17
2011-01-01,-11.09
2011-02-01,5.61
2011-03-01,-16.95
2011-04-01,1.53
2011-05-01,1.13
2011-06-01,4.72
2011-07-01,6.04
2011-08-01,3.69
2011-09-01,3.72
2011-10-01,2.5
2011-11-01,5.13
2011-12-01,2.9
2012-01-01,-8.06
2012-02-01,-5.84
2012-03-01,37.73
2012-04-01,3.01
2012-05-01,9.89
2012-06-01,2.63
2012-07-01,-0.55
2012-08-01,-0.19
2012-09-01,1.7
2012-10-01,1.13
2012-11-01,1.13
2012-12-01,-0.38
2013-01-01,5.85
2013-02-01,1.13
2013-03-01,2.63
2013-04-01,8.23
2013-05-01,-3.23
2013-06-01,0.73
2013-07-01,0.92
2013-08-01,2.25
2013-09-01,1.11
2013-10-01,0.93
2013-11-01,-1.86
2013-12-01,-0.38
2014-01-01,4.14
2014-02-01,0.74
2014-03-01,2.38
2014-04-01,-5.57
2014-05-01,-1.23
2014-06-01,1.09
2014-07-01,4.4
2014-08-01,6.42
2014-09-01,3.3
2014-10-01,3.13
2014-11-01,3.78
2014-12-01,5.49
2015-01-01,4.73
2015-02-01,6.09
2015-03-01,6.96
2015-04-01,13.42
2015-05-01,-3.02
2015-06-01,-4.13
2015-07-01,-7.02
2015-08-01,-9.14
