Date,対個人サービス業（調査９業種）総合 趣味・娯楽関連(調査５業種)
2005-01-01,7.39
2005-02-01,3.71
2005-03-01,2.41
2005-04-01,1.24
2005-05-01,6.22
2005-06-01,5.35
2005-07-01,4.89
2005-08-01,5.39
2005-09-01,2.83
2005-10-01,6.24
2005-11-01,0.9
2005-12-01,-2.63
2006-01-01,1.72
2006-02-01,2.45
2006-03-01,4.1
2006-04-01,3.58
2006-05-01,-0.1
2006-06-01,1.1
2006-07-01,2.28
2006-08-01,-0.79
2006-09-01,-2.36
2006-10-01,-1.83
2006-11-01,0.2
2006-12-01,3.01
2007-01-01,2.19
2007-02-01,1.3
2007-03-01,-2.85
2007-04-01,-3.85
2007-05-01,-3.57
2007-06-01,-4.04
2007-07-01,-9.69
2007-08-01,-8.82
2007-09-01,-8.14
2007-10-01,-12.16
2007-11-01,-11.49
2007-12-01,-9.59
2008-01-01,-12.85
2008-02-01,-12.3
2008-03-01,-9.52
2008-04-01,-8.51
2008-05-01,-9.58
2008-06-01,-8.21
2008-07-01,-4.51
2008-08-01,-2.39
2008-09-01,-2.19
2008-10-01,-0.33
2008-11-01,0.56
2008-12-01,0.33
2009-01-01,-0.45
2009-02-01,1.57
2009-03-01,0.78
2009-04-01,-0.67
2009-05-01,0.34
2009-06-01,-1.45
2009-07-01,-1.8
2009-08-01,-3.45
2009-09-01,-2.01
2009-10-01,-3.25
2009-11-01,-4.67
2009-12-01,-4.45
2010-01-01,-3.93
2010-02-01,-7.73
2010-03-01,-6.22
2010-04-01,-5.3
2010-05-01,-4.77
2010-06-01,-6.02
2010-07-01,-4.46
2010-08-01,-3.69
2010-09-01,-5.37
2010-10-01,-3.47
2010-11-01,-3.38
2010-12-01,-2.79
2011-01-01,-5.14
2011-02-01,-1.32
2011-03-01,-21.09
2011-04-01,-13.59
2011-05-01,-8.7
2011-06-01,-4.59
2011-07-01,-2.87
2011-08-01,-0.84
2011-09-01,-0.24
2011-10-01,2.4
2011-11-01,3.02
2011-12-01,1.8
2012-01-01,4.56
2012-02-01,2.67
2012-03-01,26.73
2012-04-01,15.45
2012-05-01,9.53
2012-06-01,6.71
2012-07-01,3.58
2012-08-01,0.97
2012-09-01,1.81
2012-10-01,-1.76
2012-11-01,-2.11
2012-12-01,-1.65
2013-01-01,-0.47
2013-02-01,-0.24
2013-03-01,2.25
2013-04-01,-0.6
2013-05-01,-0.48
2013-06-01,1.3
2013-07-01,3.45
2013-08-01,4.67
2013-09-01,0.71
2013-10-01,-2.26
2013-11-01,1.8
2013-12-01,4.31
2014-01-01,2.72
2014-02-01,-5.81
2014-03-01,-0.93
2014-04-01,1.2
2014-05-01,-0.12
2014-06-01,-4.68
2014-07-01,-5.64
2014-08-01,-4.8
2014-09-01,-2.12
2014-10-01,-1.59
2014-11-01,-2.24
2014-12-01,-8.14
2015-01-01,-8.18
2015-02-01,4.03
2015-03-01,-4.56
2015-04-01,-2.61
2015-05-01,-1.92
2015-06-01,-2.09
2015-07-01,-0.37
2015-08-01,-5.76
