Date,対個人サービス業（調査９業種）総合 葬儀業
2004-01-01,94.6
2004-02-01,98.5
2004-03-01,94.6
2004-04-01,90.8
2004-05-01,94
2004-06-01,96.6
2004-07-01,95.1
2004-08-01,96.7
2004-09-01,95.2
2004-10-01,95.8
2004-11-01,96.7
2004-12-01,96.4
2005-01-01,97.5
2005-02-01,100
2005-03-01,110.2
2005-04-01,99.3
2005-05-01,98.1
2005-06-01,96.8
2005-07-01,97.7
2005-08-01,97.6
2005-09-01,99.5
2005-10-01,99.7
2005-11-01,97.2
2005-12-01,104.8
2006-01-01,101.3
2006-02-01,101.5
2006-03-01,101
2006-04-01,102
2006-05-01,103.2
2006-06-01,106.3
2006-07-01,103.2
2006-08-01,99.3
2006-09-01,103.8
2006-10-01,101.9
2006-11-01,103.5
2006-12-01,104.4
2007-01-01,102.4
2007-02-01,103
2007-03-01,106.1
2007-04-01,106.2
2007-05-01,105.9
2007-06-01,104.5
2007-07-01,106.4
2007-08-01,106.1
2007-09-01,103.7
2007-10-01,106.7
2007-11-01,104.5
2007-12-01,106.2
2008-01-01,106.3
2008-02-01,112.4
2008-03-01,108.2
2008-04-01,105.5
2008-05-01,107.9
2008-06-01,108.3
2008-07-01,108.3
2008-08-01,106.5
2008-09-01,110.2
2008-10-01,109.4
2008-11-01,107.9
2008-12-01,107.2
2009-01-01,107.6
2009-02-01,104.7
2009-03-01,104.4
2009-04-01,103.9
2009-05-01,108.1
2009-06-01,104.7
2009-07-01,103.5
2009-08-01,107
2009-09-01,105.8
2009-10-01,105.7
2009-11-01,106.9
2009-12-01,103.8
2010-01-01,106.1
2010-02-01,106.1
2010-03-01,107.1
2010-04-01,107.4
2010-05-01,106.1
2010-06-01,108.3
2010-07-01,109.6
2010-08-01,108.6
2010-09-01,108.9
2010-10-01,105.1
2010-11-01,111.9
2010-12-01,110.3
2011-01-01,111.2
2011-02-01,111.1
2011-03-01,109.6
2011-04-01,112.8
2011-05-01,112.5
2011-06-01,115.6
2011-07-01,112.6
2011-08-01,112.2
2011-09-01,111.5
2011-10-01,111.3
2011-11-01,110.3
2011-12-01,113.7
2012-01-01,110.2
2012-02-01,121.1
2012-03-01,113.6
2012-04-01,111.4
2012-05-01,110.3
2012-06-01,111.4
2012-07-01,112
2012-08-01,111.8
2012-09-01,113.8
2012-10-01,115.3
2012-11-01,113.4
2012-12-01,117.7
2013-01-01,117.1
2013-02-01,117
2013-03-01,113.9
2013-04-01,113.5
2013-05-01,115
2013-06-01,109.7
2013-07-01,115.3
2013-08-01,115.7
2013-09-01,115.1
2013-10-01,114.1
2013-11-01,115.9
2013-12-01,113.5
2014-01-01,114
2014-02-01,113.5
2014-03-01,115
2014-04-01,114.1
2014-05-01,113.7
2014-06-01,112.1
2014-07-01,113.4
2014-08-01,112.5
2014-09-01,116.6
2014-10-01,116.3
2014-11-01,115.6
2014-12-01,115.4
2015-01-01,122.3
2015-02-01,117
2015-03-01,116.4
2015-04-01,114.5
2015-05-01,116.6
2015-06-01,115.6
2015-07-01,114.4
2015-08-01,118.6
