Date,経常収支(兆円)
1996-01-01,0.0342
1996-02-01,0.8609
1996-03-01,1.3154
1996-04-01,0.6176
1996-05-01,0.408
1996-06-01,0.6361
1996-07-01,0.545
1996-08-01,0.4778
1996-09-01,0.7049
1996-10-01,0.3758
1996-11-01,0.7146
1996-12-01,0.8041
1997-01-01,0.1307
1997-02-01,0.895
1997-03-01,1.0613
1997-04-01,1.0847
1997-05-01,0.8894
1997-06-01,0.9801
1997-07-01,0.8822
1997-08-01,0.8074
1997-09-01,1.1437
1997-10-01,1.083
1997-11-01,1.3055
1997-12-01,1.307
1998-01-01,0.4661
1998-02-01,1.6657
1998-03-01,1.5484
1998-04-01,1.1193
1998-05-01,1.3445
1998-06-01,1.2632
1998-07-01,1.294
1998-08-01,1.1438
1998-09-01,1.604
1998-10-01,1.073
1998-11-01,1.0646
1998-12-01,1.4115
1999-01-01,0.7293
1999-02-01,1.0659
1999-03-01,1.2364
1999-04-01,0.9085
1999-05-01,1.0555
1999-06-01,1.3804
1999-07-01,1.3366
1999-08-01,0.8062
1999-09-01,1.3272
1999-10-01,1.073
1999-11-01,0.9137
1999-12-01,1.1407
2000-01-01,0.7115
2000-02-01,1.5578
2000-03-01,1.3939
2000-04-01,1.3854
2000-05-01,1.0257
2000-06-01,1.419
2000-07-01,1.2667
2000-08-01,1.1828
2000-09-01,1.428
2000-10-01,0.8077
2000-11-01,1.0164
2000-12-01,0.8664
2001-01-01,0.2722
2001-02-01,1.4114
2001-03-01,1.4984
2001-04-01,0.8813
2001-05-01,0.4932
2001-06-01,0.7853
2001-07-01,0.715
2001-08-01,0.7215
2001-09-01,1.1751
2001-10-01,0.678
2001-11-01,0.9919
2001-12-01,0.8291
2002-01-01,0.6245
2002-02-01,1.3721
2002-03-01,2.1328
2002-04-01,1.0157
2002-05-01,0.9714
2002-06-01,1.3827
2002-07-01,1.0951
2002-08-01,1.0277
2002-09-01,1.1593
2002-10-01,0.9125
2002-11-01,1.1234
2002-12-01,0.8664
2003-01-01,0.4666
2003-02-01,1.4926
2003-03-01,1.6314
2003-04-01,1.3052
2003-05-01,1.3993
2003-06-01,1.1078
2003-07-01,1.5049
2003-08-01,1.4492
2003-09-01,1.6549
2003-10-01,1.3056
2003-11-01,1.5518
2003-12-01,1.2562
2004-01-01,1.1535
2004-02-01,2.2252
2004-03-01,1.9169
2004-04-01,1.6532
2004-05-01,1.8176
2004-06-01,1.3747
2004-07-01,1.7298
2004-08-01,1.5356
2004-09-01,1.8362
2004-10-01,1.4305
2004-11-01,1.3233
2004-12-01,1.6974
2005-01-01,0.8294
2005-02-01,2.1533
2005-03-01,1.8531
2005-04-01,1.6631
2005-05-01,1.4509
2005-06-01,1.137
2005-07-01,1.732
2005-08-01,1.2503
2005-09-01,1.8651
2005-10-01,1.4523
2005-11-01,1.458
2005-12-01,1.8832
2006-01-01,0.7855
2006-02-01,2.3195
2006-03-01,2.4159
2006-04-01,1.3796
2006-05-01,1.6895
2006-06-01,1.0809
2006-07-01,1.8327
2006-08-01,1.5234
2006-09-01,2.1004
2006-10-01,1.579
2006-11-01,1.7935
2006-12-01,1.8309
2007-01-01,1.2159
2007-02-01,2.5003
2007-03-01,3.3604
2007-04-01,1.9601
2007-05-01,2.1242
2007-06-01,1.5384
2007-07-01,1.8729
2007-08-01,2.1046
2007-09-01,2.8814
2007-10-01,2.163
2007-11-01,1.6678
2007-12-01,1.56
2008-01-01,1.1132
2008-02-01,2.4794
2008-03-01,2.8725
2008-04-01,1.2159
2008-05-01,1.8104
2008-06-01,0.2828
2008-07-01,1.3773
2008-08-01,0.8701
2008-09-01,1.4479
2008-10-01,0.8625
2008-11-01,0.5046
2008-12-01,0.0418
2009-01-01,-0.2219
2009-02-01,1.0443
2009-03-01,1.4527
2009-04-01,0.6433
2009-05-01,1.288
2009-06-01,1.2876
2009-07-01,1.3425
2009-08-01,1.2009
2009-09-01,1.7176
2009-10-01,1.5353
2009-11-01,1.2363
2009-12-01,1.066
2010-01-01,1.02
2010-02-01,1.7227
2010-03-01,2.695
2010-04-01,1.5863
2010-05-01,1.4892
2010-06-01,1.3005
2010-07-01,1.9323
2010-08-01,1.3559
2010-09-01,2.1672
2010-10-01,1.6552
2010-11-01,1.1057
2010-12-01,1.3529
2011-01-01,0.6598
2011-02-01,1.8112
2011-03-01,1.8525
2011-04-01,0.5004
2011-05-01,0.6484
2011-06-01,0.6551
2011-07-01,1.1714
2011-08-01,0.5526
2011-09-01,1.6145
2011-10-01,0.5373
2011-11-01,0.1296
2011-12-01,0.2685
2012-01-01,-0.4378
2012-02-01,1.2175
2012-03-01,1.3278
2012-04-01,0.3772
2012-05-01,0.3471
2012-06-01,0.4079
2012-07-01,0.6434
2012-08-01,0.4085
2012-09-01,0.5159
2012-10-01,0.4028
2012-11-01,-0.1985
2012-12-01,-0.2478
