Date,貿易収支／輸出(兆円)
1996-01-01,2.926
1996-02-01,3.5089
1996-03-01,3.9813
1996-04-01,3.5076
1996-05-01,3.2685
1996-06-01,3.508
1996-07-01,3.6608
1996-08-01,3.3142
1996-09-01,3.7253
1996-10-01,3.8056
1996-11-01,3.8024
1996-12-01,4.0067
1997-01-01,3.4336
1997-02-01,3.8501
1997-03-01,4.369
1997-04-01,4.26
1997-05-01,3.9263
1997-06-01,3.9404
1997-07-01,4.0915
1997-08-01,3.7641
1997-09-01,4.2546
1997-10-01,4.4485
1997-11-01,4.0426
1997-12-01,4.4994
1998-01-01,3.6964
1998-02-01,3.9329
1998-03-01,4.3944
1998-04-01,4.1576
1998-05-01,3.8648
1998-06-01,4.1135
1998-07-01,4.3476
1998-08-01,3.7997
1998-09-01,4.3699
1998-10-01,4.165
1998-11-01,3.5215
1998-12-01,3.9263
1999-01-01,3.2968
1999-02-01,3.4262
1999-03-01,4.0931
1999-04-01,3.8423
1999-05-01,3.3898
1999-06-01,3.8836
1999-07-01,4.011
1999-08-01,3.554
1999-09-01,4.0872
1999-10-01,3.9297
1999-11-01,3.6962
1999-12-01,4.0448
2000-01-01,3.337
2000-02-01,3.9109
2000-03-01,4.4911
2000-04-01,4.1664
2000-05-01,3.6639
2000-06-01,4.2541
2000-07-01,4.0969
2000-08-01,3.9748
2000-09-01,4.4319
2000-10-01,4.2185
2000-11-01,4.0342
2000-12-01,4.3838
2001-01-01,3.4322
2001-02-01,3.9517
2001-03-01,4.6237
2001-04-01,4.0745
2001-05-01,3.5766
2001-06-01,3.8825
2001-07-01,3.7771
2001-08-01,3.6076
2001-09-01,3.9295
2001-10-01,3.8377
2001-11-01,3.6499
2001-12-01,3.6937
2002-01-01,3.3334
2002-02-01,3.7886
2002-03-01,4.4961
2002-04-01,4.1333
2002-05-01,3.8922
2002-06-01,4.1508
2002-07-01,4.1121
2002-08-01,3.7918
2002-09-01,4.1906
2002-10-01,4.37
2002-11-01,4.3586
2002-12-01,4.2853
2003-01-01,3.6273
2003-02-01,4.0737
2003-03-01,4.5427
2003-04-01,4.3546
2003-05-01,4.0446
2003-06-01,4.1544
2003-07-01,4.3452
2003-08-01,4.0494
2003-09-01,4.5845
2003-10-01,4.6127
2003-11-01,4.2813
2003-12-01,4.6589
2004-01-01,4.0388
2004-02-01,4.5043
2004-03-01,5.1299
2004-04-01,4.8369
2004-05-01,4.4544
2004-06-01,4.9829
2004-07-01,4.9996
2004-08-01,4.5227
2004-09-01,5.1417
2004-10-01,5.1641
2004-11-01,4.8689
2004-12-01,5.0595
2005-01-01,4.2437
2005-02-01,4.641
2005-03-01,5.5404
2005-04-01,5.2695
2005-05-01,4.6067
2005-06-01,5.2497
2005-07-01,5.3151
2005-08-01,5.0104
2005-09-01,5.6868
2005-10-01,5.672
2005-11-01,5.6603
2005-12-01,6.114
2006-01-01,4.8212
2006-02-01,5.6386
2006-03-01,6.5507
2006-04-01,5.8846
2006-05-01,5.4774
2006-06-01,6.0054
2006-07-01,6.0294
2006-08-01,5.8651
2006-09-01,6.5214
2006-10-01,6.2875
2006-11-01,6.315
2006-12-01,6.6306
2007-01-01,5.6701
2007-02-01,6.1316
2007-03-01,7.1832
2007-04-01,6.3313
2007-05-01,6.2752
2007-06-01,6.9541
2007-07-01,6.7251
2007-08-01,6.6949
2007-09-01,6.9127
2007-10-01,7.1473
2007-11-01,6.904
2007-12-01,7.094
2008-01-01,6.1519
2008-02-01,6.6996
2008-03-01,7.3723
2008-04-01,6.6135
2008-05-01,6.5198
2008-06-01,6.8596
2008-07-01,7.3143
2008-08-01,6.7385
2008-09-01,7.0722
2008-10-01,6.6015
2008-11-01,5.0683
2008-12-01,4.5995
2009-01-01,3.3063
2009-02-01,3.3172
2009-03-01,3.9346
2009-04-01,3.9168
2009-05-01,3.7687
2009-06-01,4.3193
2009-07-01,4.5535
2009-08-01,4.2561
2009-09-01,4.8149
2009-10-01,5.0062
2009-11-01,4.7503
2009-12-01,5.1777
2010-01-01,4.6699
2010-02-01,4.9154
2010-03-01,5.758
