Date,JGB.10year,DGS10,10year.InterestSpread
2015-04-24,0.294,1.93,1.636
2015-04-27,0.31,1.94,1.63
2015-04-28,0.306,2,1.694
2015-04-29,NA,2.06,NA
2015-04-30,0.336,2.05,1.714
2015-05-01,0.37,2.12,1.75
2015-05-04,NA,2.16,NA
2015-05-05,NA,2.19,NA
2015-05-06,NA,2.25,NA
2015-05-07,0.44,2.18,1.74
2015-05-08,0.421,2.16,1.739
2015-05-11,0.402,2.28,1.878
2015-05-12,0.461,2.28,1.819
2015-05-13,0.466,2.27,1.804
2015-05-14,0.457,2.23,1.773
2015-05-15,0.402,2.14,1.738
2015-05-18,0.387,2.23,1.843
2015-05-19,0.393,2.27,1.877
2015-05-20,0.403,2.26,1.857
2015-05-21,0.418,2.19,1.772
2015-05-22,0.423,2.21,1.787
2015-05-25,0.433,NA,NA
2015-05-26,0.431,2.14,1.709
2015-05-27,0.4,2.14,1.74
2015-05-28,0.411,2.13,1.719
2015-05-29,0.406,2.12,1.714
2015-06-01,0.412,2.19,1.778
2015-06-02,0.429,2.27,1.841
2015-06-03,0.455,2.38,1.925
2015-06-04,0.484,NA,NA
