Date,D.I.／業況／全規模／非製造業／実績
1974-06-01,0
1974-09-01,-15
1974-12-01,-25
1975-03-01,-33
1975-06-01,-28
1975-09-01,-29
1975-12-01,-24
1976-03-01,-25
1976-06-01,-7
1976-09-01,-9
1976-12-01,-7
1977-03-01,-13
1977-06-01,-9
1977-09-01,-14
1977-12-01,-13
1978-03-01,-12
1978-06-01,-2
1978-09-01,4
1978-12-01,8
1979-03-01,12
1979-06-01,19
1979-09-01,14
1979-12-01,17
1980-03-01,11
1980-06-01,11
1980-09-01,-1
1980-12-01,-8
1981-03-01,-9
1981-06-01,-6
1981-09-01,-10
1981-12-01,-9
1982-03-01,-15
1982-06-01,-12
1982-09-01,-17
1982-12-01,-19
1983-03-01,-23
1983-06-01,-11
1983-09-01,-14
1983-12-01,-10
1984-03-01,-9
1984-06-01,-2
1984-09-01,-1
1984-12-01,-1
1985-03-01,0
1985-06-01,1
1985-09-01,0
1985-12-01,-1
1986-03-01,-4
1986-06-01,-3
1986-09-01,-4
1986-12-01,-4
1987-03-01,-5
1987-06-01,0
1987-09-01,6
1987-12-01,15
1988-03-01,21
1988-06-01,31
1988-09-01,35
1988-12-01,33
1989-03-01,35
1989-06-01,40
1989-09-01,38
1989-12-01,39
1990-03-01,39
1990-06-01,40
1990-09-01,40
1990-12-01,35
1991-03-01,31
1991-06-01,31
1991-09-01,27
1991-12-01,18
1992-03-01,9
1992-06-01,3
1992-09-01,-8
1992-12-01,-19
1993-03-01,-27
1993-06-01,-24
1993-09-01,-29
1993-12-01,-28
1994-03-01,-29
1994-06-01,-21
1994-09-01,-17
1994-12-01,-15
1995-03-01,-16
1995-06-01,-15
1995-09-01,-20
1995-12-01,-18
1996-03-01,-13
1996-06-01,-4
1996-09-01,-6
1996-12-01,-6
1997-03-01,-7
1997-06-01,-11
1997-09-01,-20
1997-12-01,-27
1998-03-01,-38
1998-06-01,-41
1998-09-01,-44
1998-12-01,-43
1999-03-01,-39
1999-06-01,-34
1999-09-01,-30
1999-12-01,-27
2000-03-01,-26
2000-06-01,-23
2000-09-01,-21
2000-12-01,-20
2001-03-01,-24
2001-06-01,-25
2001-09-01,-31
2001-12-01,-34
2002-03-01,-36
2002-06-01,-30
2002-09-01,-31
2002-12-01,-30
2003-03-01,-30
2003-06-01,-30
2003-09-01,-27
2003-12-01,-23
2004-03-01,-11
2004-06-01,-8
2004-09-01,-7
2004-12-01,-7
2005-03-01,-6
2005-06-01,-3
2005-09-01,-3
2005-12-01,0
2006-03-01,0
2006-06-01,2
2006-09-01,1
2006-12-01,2
2007-03-01,3
2007-06-01,3
2007-09-01,-1
2007-12-01,-3
2008-03-01,-7
2008-06-01,-10
2008-09-01,-16
2008-12-01,-23
2009-03-01,-38
2009-06-01,-39
2009-09-01,-33
2009-12-01,-30
2010-03-01,-25
2010-06-01,-19
2010-09-01,-13
2010-12-01,-15
2011-03-01,-11
2011-06-01,-20
2011-09-01,-12
2011-12-01,-7
2012-03-01,-5
2012-06-01,-3
2012-09-01,-3
2012-12-01,-6
2013-03-01,-2
2013-06-01,1
2013-09-01,5
2013-12-01,9
2014-03-01,14
2014-06-01,8
2014-09-01,5
2014-12-01,4
2015-03-01,9
2015-06-01,10
2015-09-01,10
