Date,金融調節／ETF買入
2010-12-01,142
2011-01-01,289
2011-02-01,397
2011-03-01,1023
2011-04-01,745
2011-05-01,368
2011-06-01,221
2011-07-01,221
2011-08-01,1708
2011-09-01,1278
2011-10-01,1050
2011-11-01,354
2011-12-01,495
2012-01-01,188
2012-02-01,0
2012-03-01,0
2012-04-01,950
2012-05-01,1663
2012-06-01,1676
2012-07-01,204
2012-08-01,453
2012-09-01,503
2012-10-01,569
2012-11-01,191
2012-12-01,0
2013-01-01,227
2013-02-01,118
2013-03-01,407
2013-04-01,1274
2013-05-01,504
2013-06-01,1595
2013-07-01,867
2013-08-01,1579
2013-09-01,882
2013-10-01,1433
2013-11-01,614
2013-12-01,785
2014-01-01,1506
2014-02-01,972
2014-03-01,1061
2014-04-01,687
2014-05-01,662
2014-06-01,22
2014-07-01,1086
2014-08-01,926
2014-09-01,313
2014-10-01,1761
2014-11-01,1047
2014-12-01,3442
2015-01-01,1864
2015-02-01,2907
2015-03-01,1607
2015-04-01,2820
2015-05-01,2969
2015-06-01,3269
2015-07-01,2757
2015-08-01,3494
2015-09-01,2244
2015-10-01,1340
2015-11-01,1473
