Date,有効求人倍率.季節調整値.除新卒及びパートタイム
2013-02-01,0.73
2013-03-01,0.75
2013-04-01,0.76
2013-05-01,0.78
2013-06-01,0.79
2013-07-01,0.81
2013-08-01,0.82
2013-09-01,0.84
2013-10-01,0.86
2013-11-01,0.88
2013-12-01,0.91
2014-01-01,0.92
2014-02-01,0.93
2014-03-01,0.94
2014-04-01,0.95
2014-05-01,0.96
2014-06-01,0.97
2014-07-01,0.97
2014-08-01,0.97
2014-09-01,0.97
2014-10-01,0.98
2014-11-01,0.99
2014-12-01,1.01
2015-01-01,1.01
2015-02-01,1.01
2015-03-01,1.01
2015-04-01,1.03
2015-05-01,1.05
2015-06-01,1.05
2015-07-01,1.06
