Date,有効求人倍率.季節調整値.除新卒含パートタイム
2013-02-01,0.85
2013-03-01,0.87
2013-04-01,0.88
2013-05-01,0.9
2013-06-01,0.92
2013-07-01,0.94
2013-08-01,0.95
2013-09-01,0.96
2013-10-01,0.99
2013-11-01,1.01
2013-12-01,1.03
2014-01-01,1.04
2014-02-01,1.05
2014-03-01,1.07
2014-04-01,1.08
2014-05-01,1.09
2014-06-01,1.1
2014-07-01,1.1
2014-08-01,1.1
2014-09-01,1.1
2014-10-01,1.1
2014-11-01,1.12
2014-12-01,1.14
2015-01-01,1.14
2015-02-01,1.15
2015-03-01,1.15
2015-04-01,1.17
2015-05-01,1.19
2015-06-01,1.19
2015-07-01,1.21
