Date,木材・木製品製造業
2008-03-01,18243
2008-06-01,14175
2008-09-01,19348
2008-12-01,19223
2009-03-01,14110
2009-06-01,18640
2009-09-01,18485
2009-12-01,11541
2010-03-01,5566
2010-06-01,13402
2010-09-01,26426
2010-12-01,36993
2011-03-01,24506
2011-06-01,20975
2011-09-01,19932
2011-12-01,70371
2012-03-01,18520
2012-06-01,17614
2012-09-01,19921
2012-12-01,14447
2013-03-01,19039
2013-06-01,11868
2013-09-01,15476
2013-12-01,13421
2014-03-01,29884
2014-06-01,11240
2014-09-01,27587
2014-12-01,29962
2015-03-01,29311
2015-06-01,25918
