Date,本税-報酬・料金等所得(兆円)
1984-01-01,0.533859
1985-01-01,0.673152
1986-01-01,0.717874
1987-01-01,0.768253
1988-01-01,0.976752
1989-01-01,1.006726
1990-01-01,1.072361
1991-01-01,1.080977
1992-01-01,1.107063
1993-01-01,1.121812
1994-01-01,1.106023
1995-01-01,1.134325
1996-01-01,1.143187
1997-01-01,1.159264
1998-01-01,1.029676
1999-01-01,1.096231
2000-01-01,1.101342
2001-01-01,1.114021
2002-01-01,1.100616
2003-01-01,1.04395
2004-01-01,1.039768
2005-01-01,1.31515
2006-01-01,1.36328
2007-01-01,1.195908
2008-01-01,1.170087
2009-01-01,1.149864
2010-01-01,1.15078
2011-01-01,1.151126
2012-01-01,1.154831
2013-01-01,1.173663
