Date,果物
2013-02-01,105.9
2013-03-01,104.2
2013-04-01,100.8
2013-05-01,104.4
2013-06-01,103.4
2013-07-01,98.4
2013-08-01,101.6
2013-09-01,95
2013-10-01,93
2013-11-01,97
2013-12-01,104.8
2014-01-01,113.7
2014-02-01,112.6
2014-03-01,110.4
2014-04-01,109.4
2014-05-01,114.7
2014-06-01,110.2
2014-07-01,102.7
2014-08-01,104.5
2014-09-01,99.6
2014-10-01,93.4
2014-11-01,96
2014-12-01,104.2
2015-01-01,119.3
2015-02-01,120.7
2015-03-01,121.1
2015-04-01,118.7
2015-05-01,127
2015-06-01,115.5
2015-07-01,108.8
