Date,第一部.単純平均利回り.パーセント
1998-01-01,1.17
1998-02-01,1.08
1998-03-01,1.07
1998-04-01,1.12
1998-05-01,1.12
1998-06-01,1.13
1998-07-01,1.05
1998-08-01,1.12
1998-09-01,1.22
1998-10-01,1.31
1998-11-01,1.22
1998-12-01,1.21
1999-01-01,1.23
1999-02-01,1.22
1999-03-01,1.14
1999-04-01,1.04
1999-05-01,1.02
1999-06-01,0.98
1999-07-01,0.86
1999-08-01,0.88
1999-09-01,0.88
1999-10-01,0.89
1999-11-01,0.87
1999-12-01,0.87
2000-01-01,0.86
2000-02-01,0.84
2000-03-01,0.84
2000-04-01,0.85
2000-05-01,0.85
2000-06-01,0.85
2000-07-01,0.86
2000-08-01,0.94
2000-09-01,0.95
2000-10-01,0.99
2000-11-01,1.02
2000-12-01,1.04
2001-01-01,1.1
2001-02-01,1.1
2001-03-01,1.11
2001-04-01,1.04
2001-05-01,1
2001-06-01,1.03
2001-07-01,1.1
2001-08-01,1.14
2001-09-01,1.29
2001-10-01,1.23
2001-11-01,1.25
2001-12-01,1.3
2002-01-01,1.33
2002-02-01,1.35
2002-03-01,1.24
2002-04-01,1.24
2002-05-01,1.21
2002-06-01,1.24
2002-07-01,1.2
2002-08-01,1.26
2002-09-01,1.29
2002-10-01,1.36
2002-11-01,1.39
2002-12-01,1.42
2003-01-01,1.39
2003-02-01,1.37
2003-03-01,1.41
2003-04-01,1.38
2003-05-01,1.33
2003-06-01,1.26
2003-07-01,1.23
2003-08-01,1.22
2003-09-01,1.15
2003-10-01,1.12
2003-11-01,1.18
2003-12-01,1.18
2004-01-01,1.12
2004-02-01,1.13
2004-03-01,1.04
2004-04-01,0.98
2004-05-01,1.06
2004-06-01,1
2004-07-01,1.11
2004-08-01,1.15
2004-09-01,1.14
2004-10-01,1.15
2004-11-01,1.17
2004-12-01,1.16
2005-01-01,1.11
2005-02-01,1.07
2005-03-01,1.03
2005-04-01,1.07
2005-05-01,1.09
2005-06-01,1.08
2005-07-01,1.2
2005-08-01,1.17
2005-09-01,1.11
2005-10-01,1.07
2005-11-01,0.99
2005-12-01,0.92
2006-01-01,0.88
2006-02-01,0.9
2006-03-01,0.91
2006-04-01,0.88
2006-05-01,0.93
2006-06-01,1.03
2006-07-01,1.19
2006-08-01,1.16
2006-09-01,1.16
2006-10-01,1.16
2006-11-01,1.21
2006-12-01,1.16
2007-01-01,1.13
2007-02-01,1.09
2007-03-01,1.12
2007-04-01,1.13
2007-05-01,1.13
2007-06-01,1.12
2007-07-01,1.22
2007-08-01,1.34
2007-09-01,1.38
2007-10-01,1.33
2007-11-01,1.44
2007-12-01,1.46
2008-01-01,1.67
2008-02-01,1.67
2008-03-01,1.78
2008-04-01,1.71
2008-05-01,1.62
2008-06-01,1.61
2008-07-01,1.79
2008-08-01,1.85
2008-09-01,1.98
2008-10-01,2.5
2008-11-01,2.5
2008-12-01,2.52
2009-01-01,2.54
2009-02-01,2.7
2009-03-01,2.69
2009-04-01,2.51
2009-05-01,2.39
2009-06-01,2.22
2009-07-01,1.97
2009-08-01,1.88
2009-09-01,1.9
2009-10-01,1.99
2009-11-01,2.1
2009-12-01,2.05
2010-01-01,1.98
2010-02-01,2.03
2010-03-01,1.93
2010-04-01,1.81
2010-05-01,1.82
2010-06-01,1.83
2010-07-01,1.88
2010-08-01,1.95
2010-09-01,1.94
2010-10-01,1.99
2010-11-01,1.97
2010-12-01,1.84
2011-01-01,1.76
2011-02-01,1.72
2011-03-01,1.85
2011-04-01,1.89
2011-05-01,2.01
2011-06-01,2.07
2011-07-01,1.99
2011-08-01,2.16
2011-09-01,2.19
2011-10-01,2.19
2011-11-01,2.26
2011-12-01,2.24
2012-01-01,2.18
2012-02-01,2.07
2012-03-01,1.96
2012-04-01,2.03
2012-05-01,2.24
2012-06-01,2.3
2012-07-01,2.24
2012-08-01,2.23
2012-09-01,2.26
2012-10-01,2.27
2012-11-01,2.22
2012-12-01,2.08
2013-01-01,1.91
2013-02-01,1.83
2013-03-01,1.69
2013-04-01,1.6
2013-05-01,1.55
2013-06-01,1.75
2013-07-01,1.62
2013-08-01,1.66
2013-09-01,1.6
2013-10-01,1.58
2013-11-01,1.55
2013-12-01,1.52
2014-01-01,1.47
2014-02-01,1.57
2014-03-01,1.59
2014-04-01,1.62
2014-05-01,1.72
2014-06-01,1.67
2014-07-01,1.62
2014-08-01,1.61
2014-09-01,1.56
2014-10-01,1.64
2014-11-01,1.52
2014-12-01,1.48
2015-01-01,1.49
2015-02-01,1.44
2015-03-01,1.38
2015-04-01,1.37
2015-05-01,1.45
2015-06-01,1.46
2015-07-01,1.46
2015-08-01,1.47
