Date,油脂・調味料
2013-02-01,96.9
2013-03-01,96.6
2013-04-01,96.6
2013-05-01,96.8
2013-06-01,97.3
2013-07-01,97.6
2013-08-01,97.3
2013-09-01,97.9
2013-10-01,97.9
2013-11-01,98.3
2013-12-01,97.6
2014-01-01,98.1
2014-02-01,98.7
2014-03-01,99.1
2014-04-01,101.9
2014-05-01,101.3
2014-06-01,101.6
2014-07-01,101.4
2014-08-01,101
2014-09-01,100.7
2014-10-01,100.4
2014-11-01,100.6
2014-12-01,100.5
2015-01-01,100.8
2015-02-01,100.8
2015-03-01,100.5
2015-04-01,101.1
2015-05-01,101.6
2015-06-01,101.6
2015-07-01,101.5
