Date,物品賃貸業(集約)
2008-03-01,2203795
2008-06-01,874670
2008-09-01,722504
2008-12-01,572911
2009-03-01,530667
2009-06-01,334100
2009-09-01,321004
2009-12-01,280553
2010-03-01,389429
2010-06-01,383755
2010-09-01,368899
2010-12-01,373438
2011-03-01,416032
2011-06-01,297661
2011-09-01,300366
2011-12-01,338927
2012-03-01,319039
2012-06-01,319559
2012-09-01,323814
2012-12-01,339560
2013-03-01,480834
2013-06-01,331486
2013-09-01,399505
2013-12-01,397681
2014-03-01,479516
2014-06-01,348527
2014-09-01,398085
2014-12-01,397363
2015-03-01,496816
2015-06-01,393922
