Date,生鮮食品を除く総合
2013-02-01,99.2
2013-03-01,99.5
2013-04-01,99.8
2013-05-01,100
2013-06-01,100
2013-07-01,100.1
2013-08-01,100.4
2013-09-01,100.5
2013-10-01,100.7
2013-11-01,100.7
2013-12-01,100.6
2014-01-01,100.4
2014-02-01,100.5
2014-03-01,100.8
2014-04-01,103
2014-05-01,103.4
2014-06-01,103.4
2014-07-01,103.5
2014-08-01,103.5
2014-09-01,103.5
2014-10-01,103.6
2014-11-01,103.4
2014-12-01,103.2
2015-01-01,102.6
2015-02-01,102.5
2015-03-01,103
2015-04-01,103.3
2015-05-01,103.4
2015-06-01,103.4
2015-07-01,103.4
