Date,生鮮魚介
2013-02-01,97.6
2013-03-01,98.5
2013-04-01,100
2013-05-01,98.3
2013-06-01,97.9
2013-07-01,100.5
2013-08-01,103.1
2013-09-01,110.6
2013-10-01,105.7
2013-11-01,105.3
2013-12-01,108.2
2014-01-01,108.4
2014-02-01,109.9
2014-03-01,110.1
2014-04-01,112.6
2014-05-01,112.4
2014-06-01,112.6
2014-07-01,114.1
2014-08-01,120.6
2014-09-01,119.1
2014-10-01,116.2
2014-11-01,114.6
2014-12-01,120.7
2015-01-01,120.6
2015-02-01,118.9
2015-03-01,117.2
2015-04-01,116.8
2015-05-01,115.5
2015-06-01,115
2015-07-01,115.6
