Date,申告所得税合計税額(兆円)
1984-01-01,2.751623
1985-01-01,2.892092
1986-01-01,3.379229
1987-01-01,4.19756
1988-01-01,4.340693
1989-01-01,5.378809
1990-01-01,6.621585
1991-01-01,6.596057
1992-01-01,4.110252
1993-01-01,4.280677
1994-01-01,3.456732
1995-01-01,3.477682
1996-01-01,3.645039
1997-01-01,3.518559
1998-01-01,2.959034
1999-01-01,2.624665
2000-01-01,2.690394
2001-01-01,2.584807
2002-01-01,2.403097
2003-01-01,2.384546
2004-01-01,2.418218
2005-01-01,2.685526
2006-01-01,2.912868
2007-01-01,3.012777
2008-01-01,2.664189
2009-01-01,2.28785
2010-01-01,2.263618
2011-01-01,2.321096
2012-01-01,2.417131
2013-01-01,2.727683
