Date,石油製品・石炭製品製造業
2008-03-01,97841
2008-06-01,82739
2008-09-01,113442
2008-12-01,87648
2009-03-01,57078
2009-06-01,79591
2009-09-01,77563
2009-12-01,94270
2010-03-01,70492
2010-06-01,55443
2010-09-01,45790
2010-12-01,39749
2011-03-01,24422
2011-06-01,21328
2011-09-01,34208
2011-12-01,23719
2012-03-01,39830
2012-06-01,50414
2012-09-01,38065
2012-12-01,50252
2013-03-01,44396
2013-06-01,54531
2013-09-01,43440
2013-12-01,42645
2014-03-01,56494
2014-06-01,34687
2014-09-01,42428
2014-12-01,65089
2015-03-01,90892
2015-06-01,37539
