Date,窯業・土石製品製造業
2008-03-01,208491
2008-06-01,209894
2008-09-01,229487
2008-12-01,166729
2009-03-01,144336
2009-06-01,183345
2009-09-01,115904
2009-12-01,117515
2010-03-01,95028
2010-06-01,100902
2010-09-01,96200
2010-12-01,89307
2011-03-01,95892
2011-06-01,109857
2011-09-01,97244
2011-12-01,171305
2012-03-01,129369
2012-06-01,86049
2012-09-01,79815
2012-12-01,64275
2013-03-01,86136
2013-06-01,69888
2013-09-01,83108
2013-12-01,83811
2014-03-01,136622
2014-06-01,64588
2014-09-01,95061
2014-12-01,79886
2015-03-01,114224
2015-06-01,90690
