Date,Average Hourly Earnings of All Employees： Total Private(＄／h)
2006-03-01,20.05
2006-04-01,20.16
2006-05-01,20.13
2006-06-01,20.23
2006-07-01,20.3
2006-08-01,20.32
2006-09-01,20.41
2006-10-01,20.44
2006-11-01,20.48
2006-12-01,20.57
2007-01-01,20.6
2007-02-01,20.68
2007-03-01,20.77
2007-04-01,20.82
2007-05-01,20.88
2007-06-01,21
2007-07-01,21
2007-08-01,21.03
2007-09-01,21.08
2007-10-01,21.11
2007-11-01,21.15
2007-12-01,21.22
2008-01-01,21.24
2008-02-01,21.32
2008-03-01,21.41
2008-04-01,21.42
2008-05-01,21.51
2008-06-01,21.56
2008-07-01,21.63
2008-08-01,21.73
2008-09-01,21.76
2008-10-01,21.81
2008-11-01,21.92
2008-12-01,21.98
2009-01-01,22
2009-02-01,22.01
2009-03-01,22.08
2009-04-01,22.11
2009-05-01,22.12
2009-06-01,22.16
2009-07-01,22.19
2009-08-01,22.25
2009-09-01,22.27
2009-10-01,22.32
2009-11-01,22.37
2009-12-01,22.38
2010-01-01,22.43
2010-02-01,22.45
2010-03-01,22.47
2010-04-01,22.51
2010-05-01,22.55
2010-06-01,22.54
2010-07-01,22.6
2010-08-01,22.64
2010-09-01,22.68
2010-10-01,22.74
2010-11-01,22.74
2010-12-01,22.77
2011-01-01,22.86
2011-02-01,22.87
2011-03-01,22.89
2011-04-01,22.94
2011-05-01,23
2011-06-01,23.02
2011-07-01,23.11
2011-08-01,23.07
2011-09-01,23.12
2011-10-01,23.22
2011-11-01,23.2
2011-12-01,23.22
2012-01-01,23.26
2012-02-01,23.3
2012-03-01,23.37
2012-04-01,23.4
2012-05-01,23.42
2012-06-01,23.47
2012-07-01,23.52
2012-08-01,23.49
2012-09-01,23.58
2012-10-01,23.57
2012-11-01,23.64
2012-12-01,23.73
2013-01-01,23.76
2013-02-01,23.79
2013-03-01,23.82
2013-04-01,23.87
2013-05-01,23.89
2013-06-01,23.97
2013-07-01,23.97
2013-08-01,24.02
2013-09-01,24.06
2013-10-01,24.1
2013-11-01,24.17
2013-12-01,24.18
2014-01-01,24.22
2014-02-01,24.3
2014-03-01,24.34
2014-04-01,24.34
2014-05-01,24.4
2014-06-01,24.46
2014-07-01,24.47
2014-08-01,24.55
2014-09-01,24.55
2014-10-01,24.59
2014-11-01,24.68
2014-12-01,24.62
2015-01-01,24.76
2015-02-01,24.78
2015-03-01,24.85
2015-04-01,24.89
2015-05-01,24.95
2015-06-01,24.95
2015-07-01,25.01
2015-08-01,25.1
2015-09-01,25.09
