Date,純粋持株会社
2008-03-01,NA
2008-06-01,NA
2008-09-01,NA
2008-12-01,NA
2009-03-01,NA
2009-06-01,38238
2009-09-01,31191
2009-12-01,26189
2010-03-01,37023
2010-06-01,26355
2010-09-01,24917
2010-12-01,45185
2011-03-01,59382
2011-06-01,23402
2011-09-01,30720
2011-12-01,34935
2012-03-01,51251
2012-06-01,52554
2012-09-01,33806
2012-12-01,47225
2013-03-01,66634
2013-06-01,56570
2013-09-01,45143
2013-12-01,42911
2014-03-01,72433
2014-06-01,78853
2014-09-01,156752
2014-12-01,153803
2015-03-01,147005
2015-06-01,136581
