Date,繊維工業
2008-03-01,NA
2008-06-01,NA
2008-09-01,NA
2008-12-01,NA
2009-03-01,NA
2009-06-01,45191
2009-09-01,40130
2009-12-01,36560
2010-03-01,33673
2010-06-01,26509
2010-09-01,50581
2010-12-01,57835
2011-03-01,41949
2011-06-01,31066
2011-09-01,77363
2011-12-01,62831
2012-03-01,61771
2012-06-01,40048
2012-09-01,52893
2012-12-01,39451
2013-03-01,65516
2013-06-01,61433
2013-09-01,46086
2013-12-01,47980
2014-03-01,63820
2014-06-01,29053
2014-09-01,54866
2014-12-01,45392
2015-03-01,77034
2015-06-01,39312
