Date,肉類
2013-02-01,98.5
2013-03-01,98.2
2013-04-01,98.3
2013-05-01,98.6
2013-06-01,98.4
2013-07-01,99.2
2013-08-01,99.5
2013-09-01,100
2013-10-01,100.3
2013-11-01,100.7
2013-12-01,101.3
2014-01-01,102.1
2014-02-01,102
2014-03-01,103.1
2014-04-01,105.9
2014-05-01,106.8
2014-06-01,107.5
2014-07-01,108.1
2014-08-01,108.8
2014-09-01,109.1
2014-10-01,109.1
2014-11-01,109.8
2014-12-01,109.8
2015-01-01,110.5
2015-02-01,110.8
2015-03-01,111.3
2015-04-01,111.8
2015-05-01,111.8
2015-06-01,112.2
2015-07-01,112.1
