Date,自動車・同附属品製造業
2008-03-01,1098332
2008-06-01,587336
2008-09-01,729524
2008-12-01,636377
2009-03-01,825054
2009-06-01,345081
2009-09-01,288613
2009-12-01,316656
2010-03-01,408957
2010-06-01,294559
2010-09-01,397703
2010-12-01,356429
2011-03-01,485772
2011-06-01,303553
2011-09-01,373050
2011-12-01,388656
2012-03-01,579475
2012-06-01,357031
2012-09-01,467660
2012-12-01,397225
2013-03-01,614458
2013-06-01,401610
2013-09-01,485083
2013-12-01,460205
2014-03-01,698361
2014-06-01,407103
2014-09-01,517902
2014-12-01,491879
2015-03-01,786852
2015-06-01,506471
