Date,菓子類
2013-02-01,99.1
2013-03-01,99.3
2013-04-01,99.5
2013-05-01,99.2
2013-06-01,99.2
2013-07-01,98.7
2013-08-01,98.6
2013-09-01,98.6
2013-10-01,98.9
2013-11-01,99.4
2013-12-01,99.4
2014-01-01,99.5
2014-02-01,99.4
2014-03-01,99.2
2014-04-01,102.2
2014-05-01,102.1
2014-06-01,102.4
2014-07-01,103.9
2014-08-01,103.7
2014-09-01,104.3
2014-10-01,104.9
2014-11-01,105.1
2014-12-01,105.1
2015-01-01,105.5
2015-02-01,105.3
2015-03-01,105.5
2015-04-01,105.8
2015-05-01,106.1
2015-06-01,106.4
2015-07-01,107.1
