Date,被服及び履物
2013-02-01,95.5
2013-03-01,99.1
2013-04-01,101.4
2013-05-01,101.3
2013-06-01,101.1
2013-07-01,98.7
2013-08-01,96.6
2013-09-01,102.5
2013-10-01,102.8
2013-11-01,103
2013-12-01,102.4
2014-01-01,96.7
2014-02-01,96.7
2014-03-01,99.4
2014-04-01,103.6
2014-05-01,103.6
2014-06-01,103.1
2014-07-01,101
2014-08-01,99.3
2014-09-01,105.3
2014-10-01,105.9
2014-11-01,106.5
2014-12-01,105.7
2015-01-01,100.4
2015-02-01,100.1
2015-03-01,103.1
2015-04-01,105.5
2015-05-01,105.4
2015-06-01,105.2
2015-07-01,102.4
