Date,設備修繕・維持
2013-02-01,99.8
2013-03-01,99.8
2013-04-01,99.7
2013-05-01,99.5
2013-06-01,99.5
2013-07-01,99.5
2013-08-01,99.5
2013-09-01,99.8
2013-10-01,99.7
2013-11-01,99.9
2013-12-01,99.9
2014-01-01,99.9
2014-02-01,99.8
2014-03-01,99.9
2014-04-01,102.4
2014-05-01,102.5
2014-06-01,102.7
2014-07-01,102.9
2014-08-01,102.8
2014-09-01,102.8
2014-10-01,103.2
2014-11-01,103.3
2014-12-01,103.4
2015-01-01,103.7
2015-02-01,104
2015-03-01,104
2015-04-01,104
2015-05-01,104
2015-06-01,104.2
2015-07-01,104.3
