Date,調理食品
2013-02-01,100.6
2013-03-01,100.5
2013-04-01,100.5
2013-05-01,100.4
2013-06-01,100.6
2013-07-01,100.6
2013-08-01,101.1
2013-09-01,101
2013-10-01,101.2
2013-11-01,101.4
2013-12-01,101.5
2014-01-01,101.9
2014-02-01,101.8
2014-03-01,102.2
2014-04-01,105.4
2014-05-01,106.1
2014-06-01,106.6
2014-07-01,107
2014-08-01,107.1
2014-09-01,106.8
2014-10-01,107.1
2014-11-01,106.7
2014-12-01,106.7
2015-01-01,107.3
2015-02-01,106.9
2015-03-01,107.6
2015-04-01,108.5
2015-05-01,108.8
2015-06-01,108.7
2015-07-01,108.9
