Date,諸雑費
2013-02-01,103.4
2013-03-01,104.2
2013-04-01,104.2
2013-05-01,104.3
2013-06-01,104.3
2013-07-01,104.5
2013-08-01,104.4
2013-09-01,104.4
2013-10-01,106.8
2013-11-01,106.9
2013-12-01,106.9
2014-01-01,106.9
2014-02-01,106.9
2014-03-01,107.2
2014-04-01,109.3
2014-05-01,109.2
2014-06-01,109.2
2014-07-01,109.1
2014-08-01,109.1
2014-09-01,109.1
2014-10-01,109.3
2014-11-01,109.2
2014-12-01,109.2
2015-01-01,109.3
2015-02-01,109.2
2015-03-01,109.2
2015-04-01,109.6
2015-05-01,109.7
2015-06-01,109.7
2015-07-01,109.8
